Skills,"As a user, I'd like to be able to select custom fields of type Date Picker in the Two Dimensional Filter Statistics gadget, X and Y axis.         Currently this is not available.",As a user I would like to have the ability to start a thread on a Jira that is being worked on by several several users so as to avoid lengthy comment strings that are not relevant to all users.,As a user I want to click column names to sort them because it's a familiar paradigm to me and so I don't have to type in the query bar to sort the field.,"As a JIRA Administrators, I'd like to be able to set the timeout for the rapid boards. Sometimes users are in remote locations where it's excepted that the load times will be very high.",As a new developer I want to restore a dump to my local machine so I can set up a new development environment.,"As a Jira administrator, I would like to customize the image that is displayed when we select the Unassigned/Automatic option for user fields.         !abc.png!","As a developer, I'd like to add a mongodb source using an xml and a property file supporting mixing in of parameters so that I can use this module to ingest data from Mongo.","As a developer, I need a Python SDK, so I develop application with NodeJS to interact with blockchain.",As a theme designer I want a fast change test iterate loop in order to dev things quickly,"As a user of Maven and REST, I would like the ability to create and update a group repository via the API.","As an administrator, I want to be able to determine app login by granting this as a global permission for certain groups and/or users.",As a Product Owner   I would like a hotkey for the Backlog Search in Agile Plan mode  So that I can search for stories with less switching between a keyboard and mouse.,"As a user, I want to be able to configure the default expression language for my project so that I can use Weave as my expression language.","As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping",As a Compass user I would like to export and import my favorite list so that other users may access the same hosts without having to type anything,As a developer I want to copy data from production or staging to my local development environment so I can debug an application issue.,"As an application developer, I want documentation for upgrade flows","As a user, I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.",As a developer I want to copy a document to clipboard as json so I can share the document with other members on my team and/or compare it with the output from my application.,As a developer I want to debug my Alloy projects using the Studio debugger,"As a Jira Software Administrator, I would like to be able to create and use a schema for Issue Detail View in Agile boards.    It would facilitate the standardization of board configuration.","As a customer, I would like to have the possibility of configuring the calendar on the Log Work Screen. As an example, hide week number information.","As an admin , I would like to have the ability to remove the tab Discover option from the Switch to tab. Please refer attachment. We do not want to see More atlassian products under this Discover tab.","As a user of REST, I would like the capability to administrate my Raw repositories.  This ticket implements PUT and POST endpoints.",As a user I would like an action to be able to delete a specific worklog (from a specifc author at a specific date) in Automation for JIRA.     Today I can only add a worklog.
Embedded Systems,0.03,0.1,0.18,0.17,0.45,0.01,0.0,0.0,0.01,0.01,0.07,0.02,0.22,0.0,0.03,0.21,0.01,0.04,0.17,0.01,0.0,0.02,0.26,0.0,0.06
Ethical Hacking,0.0,0.01,0.02,0.01,0.34,0.01,0.02,0.01,0.02,0.0,0.17,0.0,0.02,0.0,0.3,0.22,0.03,0.07,0.01,0.0,0.0,0.01,0.29,0.0,0.02
Firewall Configuration,0.0,0.01,0.13,0.0,0.05,0.0,0.01,0.0,0.35,0.01,0.0,0.0,0.0,0.0,0.02,0.11,0.11,0.0,0.19,0.38,0.0,0.0,0.07,0.0,0.0
Flask,0.03,0.0,0.26,0.03,0.39,0.0,0.03,0.49,0.31,0.01,0.27,0.08,0.0,0.0,0.0,0.4,0.37,0.0,0.37,0.0,0.0,0.0,0.19,0.15,0.0
Flutter,0.01,0.0,0.16,0.2,0.26,0.01,0.01,0.0,0.25,0.0,0.2,0.01,0.0,0.0,0.0,0.27,0.21,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.04
GCP,0.29,0.01,0.42,0.26,0.32,0.0,0.01,0.06,0.47,0.07,0.36,0.25,0.01,0.13,0.13,0.27,0.41,0.0,0.15,0.0,0.0,0.07,0.55,0.21,0.0
Git,0.02,0.0,0.22,0.0,0.21,0.0,0.0,0.0,0.36,0.05,0.02,0.02,0.0,0.0,0.0,0.42,0.19,0.0,0.0,0.0,0.0,0.0,0.06,0.25,0.0
GraphQL,0.09,0.0,0.22,0.0,0.43,0.0,0.14,0.16,0.3,0.02,0.13,0.01,0.01,0.0,0.13,0.39,0.36,0.01,0.06,0.0,0.33,0.0,0.08,0.0,0.0
HTML,0.41,0.0,0.47,0.01,0.25,0.0,0.0,0.0,0.27,0.0,0.33,0.01,0.09,0.29,0.51,0.14,0.44,0.24,0.0,0.0,0.14,0.28,0.71,0.0,0.12
Hadoop,0.11,0.0,0.21,0.0,0.29,0.0,0.0,0.0,0.06,0.0,0.12,0.0,0.0,0.0,0.0,0.2,0.35,0.0,0.14,0.0,0.0,0.0,0.06,0.01,0.0
Hardware/Software Integration,0.61,0.05,0.21,0.24,0.77,0.03,0.69,0.41,0.04,0.08,0.23,0.69,0.27,0.08,0.89,0.32,0.2,0.87,0.38,0.61,0.0,0.52,0.63,0.0,0.01
IT Support,0.05,0.21,0.08,0.05,0.0,0.08,0.0,0.0,0.0,0.04,0.02,0.0,0.04,0.04,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.56,0.05,0.09
Incident Response,0.0,0.19,0.16,0.29,0.41,0.27,0.06,0.16,0.14,0.03,0.01,0.0,0.04,0.15,0.07,0.44,0.15,0.03,0.16,0.04,0.01,0.0,0.2,0.01,0.15
Integration Testing and System Testing,0.02,0.15,0.23,0.1,0.16,0.1,0.02,0.09,0.1,0.19,0.01,0.04,0.04,0.01,0.24,0.12,0.04,0.11,0.2,0.1,0.02,0.0,0.33,0.0,0.15
Intrusion Detection,0.0,0.01,0.07,0.0,0.2,0.1,0.01,0.08,0.1,0.0,0.01,0.0,0.01,0.0,0.07,0.13,0.17,0.0,0.01,0.29,0.0,0.0,0.09,0.0,0.01
IoT,0.36,0.01,0.11,0.68,0.29,0.0,0.0,0.05,0.1,0.01,0.0,0.01,0.57,0.0,0.83,0.21,0.22,0.02,0.02,0.01,0.0,0.08,0.12,0.0,0.0
JUnit,0.05,0.01,0.36,0.19,0.46,0.07,0.08,0.03,0.36,0.11,0.35,0.2,0.01,0.0,0.02,0.47,0.44,0.07,0.29,0.01,0.05,0.02,0.42,0.01,0.01
Java,0.62,0.0,0.19,0.01,0.38,0.0,0.02,0.0,0.18,0.3,0.24,0.02,0.05,0.02,0.01,0.48,0.21,0.54,0.3,0.0,0.03,0.08,0.02,0.47,0.01
JavaScript,0.47,0.01,0.43,0.03,0.3,0.01,0.0,0.03,0.45,0.0,0.24,0.2,0.18,0.06,0.39,0.3,0.09,0.27,0.0,0.03,0.02,0.31,0.31,0.02,0.22
Kanban,0.0,0.0,0.19,0.52,0.19,0.01,0.03,0.01,0.65,0.01,0.08,0.78,0.0,0.95,0.03,0.15,0.36,0.0,0.01,0.0,0.35,0.01,0.05,0.0,0.06
Kotlin,0.04,0.0,0.06,0.02,0.3,0.0,0.01,0.0,0.14,0.01,0.08,0.01,0.02,0.0,0.0,0.19,0.16,0.05,0.05,0.0,0.0,0.01,0.02,0.03,0.01
Kubernetes,0.01,0.0,0.14,0.01,0.11,0.0,0.0,0.01,0.19,0.0,0.06,0.01,0.03,0.0,0.0,0.14,0.39,0.0,0.11,0.0,0.0,0.0,0.12,0.0,0.0
MQTT,0.04,0.0,0.16,0.35,0.47,0.0,0.0,0.29,0.41,0.02,0.11,0.05,0.06,0.01,0.63,0.46,0.51,0.02,0.01,0.05,0.0,0.01,0.17,0.0,0.0
Machine Learning,0.0,0.0,0.01,0.0,0.34,0.04,0.2,0.09,0.03,0.01,0.29,0.0,0.1,0.0,0.1,0.14,0.31,0.08,0.13,0.17,0.0,0.0,0.27,0.0,0.01
Malware Analysis,0.0,0.02,0.13,0.01,0.2,0.07,0.02,0.06,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.03,0.03,0.0,0.11,0.03,0.0,0.0,0.07,0.0,0.07
Manual Testing,0.17,0.01,0.54,0.08,0.32,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.34,0.0,0.05,0.8,0.3,0.29,0.13,0.0,0.0,0.0,0.39,0.01,0.01
Matplotlib,0.2,0.0,0.42,0.09,0.47,0.0,0.01,0.08,0.39,0.05,0.38,0.16,0.0,0.01,0.0,0.44,0.44,0.02,0.19,0.0,0.01,0.01,0.39,0.03,0.0
Memory Management and Performance Profiling,0.0,0.02,0.11,0.0,0.19,0.04,0.1,0.04,0.02,0.0,0.0,0.0,0.01,0.0,0.04,0.14,0.18,0.0,0.17,0.35,0.0,0.0,0.25,0.0,0.02
Microsoft SQL Server,0.68,0.0,0.66,0.01,0.49,0.0,0.0,0.0,0.25,0.0,0.32,0.27,0.09,0.0,0.05,0.49,0.5,0.0,0.3,0.0,0.0,0.07,0.43,0.1,0.0
MongoDB,0.27,0.0,0.34,0.0,0.36,0.0,0.93,0.03,0.26,0.01,0.2,0.01,0.0,0.0,0.0,0.41,0.46,0.0,0.47,0.0,0.0,0.0,0.04,0.09,0.0
MySQL,0.51,0.0,0.69,0.0,0.44,0.0,0.0,0.0,0.24,0.0,0.24,0.04,0.0,0.0,0.0,0.47,0.5,0.0,0.14,0.0,0.01,0.0,0.1,0.06,0.0
Natural Language Processing,0.0,0.73,0.79,0.02,0.44,0.19,0.09,0.03,0.19,0.02,0.19,0.01,0.42,0.0,0.86,0.25,0.35,0.16,0.16,0.01,0.0,0.09,0.56,0.01,0.07
Network Monitoring,0.0,0.1,0.39,0.05,0.02,0.13,0.07,0.27,0.07,0.01,0.03,0.0,0.14,0.0,0.34,0.17,0.24,0.03,0.17,0.17,0.0,0.0,0.24,0.0,0.09
Network Security,0.0,0.02,0.03,0.08,0.03,0.02,0.0,0.23,0.01,0.0,0.73,0.0,0.02,0.0,0.61,0.02,0.02,0.02,0.0,0.16,0.0,0.0,0.31,0.0,0.01
NoSQL,0.03,0.0,0.17,0.0,0.3,0.0,0.23,0.0,0.07,0.01,0.01,0.0,0.01,0.0,0.01,0.13,0.2,0.06,0.03,0.0,0.0,0.01,0.05,0.02,0.0
Node.js,0.52,0.01,0.17,0.1,0.32,0.0,0.02,0.9,0.43,0.0,0.23,0.08,0.01,0.01,0.04,0.37,0.48,0.04,0.42,0.0,0.01,0.08,0.05,0.37,0.0
Oracle,0.34,0.0,0.56,0.0,0.29,0.0,0.0,0.0,0.22,0.01,0.25,0.05,0.0,0.0,0.0,0.34,0.39,0.0,0.22,0.0,0.0,0.09,0.09,0.12,0.0
Pandas,0.03,0.01,0.2,0.07,0.11,0.1,0.05,0.08,0.23,0.04,0.05,0.03,0.0,0.02,0.14,0.22,0.28,0.01,0.12,0.01,0.04,0.0,0.09,0.03,0.03
Penetration Testing,0.0,0.01,0.09,0.0,0.11,0.05,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.0,0.15
Performance Testing,0.0,0.05,0.02,0.17,0.19,0.02,0.02,0.09,0.34,0.0,0.0,0.0,0.01,0.0,0.02,0.08,0.02,0.01,0.09,0.09,0.01,0.0,0.27,0.0,0.16
PostgreSQL,0.58,0.0,0.66,0.0,0.46,0.0,0.0,0.0,0.23,0.0,0.3,0.05,0.0,0.02,0.05,0.41,0.58,0.0,0.17,0.0,0.01,0.01,0.12,0.06,0.0
Project Planning,0.01,0.27,0.28,0.21,0.02,0.19,0.01,0.0,0.04,0.04,0.02,0.06,0.27,0.04,0.18,0.0,0.06,0.11,0.38,0.0,0.0,0.0,0.29,0.0,0.15
PyTorch,0.03,0.0,0.14,0.03,0.45,0.0,0.01,0.05,0.4,0.0,0.31,0.04,0.01,0.0,0.03,0.39,0.49,0.0,0.27,0.0,0.0,0.0,0.24,0.01,0.0
Quality Assurance,0.0,0.03,0.01,0.01,0.06,0.01,0.0,0.0,0.32,0.0,0.02,0.0,0.0,0.0,0.02,0.07,0.07,0.0,0.04,0.01,0.01,0.0,0.09,0.0,0.06
RDBMS,0.32,0.0,0.89,0.0,0.6,0.0,0.0,0.0,0.06,0.01,0.36,0.01,0.0,0.0,0.0,0.63,0.53,0.01,0.01,0.0,0.02,0.03,0.1,0.0,0.0
REST,0.04,0.0,0.22,0.01,0.61,0.01,0.32,0.02,0.27,0.94,0.15,0.05,0.01,0.0,0.06,0.3,0.37,0.16,0.11,0.0,0.01,0.02,0.32,0.98,0.01
RESTful Architecture,0.19,0.08,0.37,0.15,0.56,0.22,0.74,0.52,0.31,0.93,0.82,0.04,0.22,0.01,0.78,0.58,0.49,0.58,0.81,0.37,0.06,0.02,0.4,0.97,0.21
React,0.0,0.0,0.11,0.03,0.34,0.0,0.0,0.0,0.32,0.0,0.16,0.01,0.0,0.0,0.0,0.37,0.31,0.0,0.21,0.0,0.0,0.0,0.05,0.0,0.0
React Native,0.13,0.0,0.12,0.03,0.39,0.0,0.0,0.01,0.31,0.0,0.3,0.03,0.01,0.0,0.0,0.4,0.39,0.0,0.28,0.0,0.0,0.0,0.08,0.0,0.0
Real-Time Systems,0.01,0.02,0.11,0.13,0.31,0.02,0.01,0.02,0.1,0.01,0.14,0.01,0.06,0.0,0.01,0.25,0.29,0.12,0.14,0.0,0.0,0.0,0.38,0.0,0.01
Responsive Design,0.17,0.05,0.36,0.0,0.26,0.33,0.01,0.02,0.27,0.02,0.04,0.0,0.17,0.01,0.89,0.14,0.26,0.01,0.1,0.01,0.0,0.12,0.57,0.0,0.01
Responsive Web Design,0.09,0.01,0.31,0.0,0.41,0.11,0.02,0.02,0.42,0.04,0.03,0.0,0.15,0.0,0.75,0.29,0.36,0.01,0.22,0.04,0.0,0.03,0.47,0.0,0.01
Risk Management,0.0,0.1,0.31,0.01,0.01,0.13,0.02,0.11,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.01,0.28,0.0,0.0,0.0,0.09,0.0,0.08
Routing and Switching,0.0,0.0,0.01,0.02,0.16,0.01,0.01,0.03,0.02,0.0,0.01,0.01,0.01,0.0,0.09,0.18,0.2,0.01,0.01,0.29,0.0,0.0,0.62,0.0,0.01
SQL,0.28,0.0,0.64,0.0,0.45,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.02,0.01,0.51,0.1,0.28,0.0,0.0,0.03,0.01,0.14,0.0,0.0
SVN,0.23,0.0,0.45,0.0,0.5,0.0,0.0,0.0,0.51,0.27,0.24,0.67,0.02,0.0,0.03,0.54,0.33,0.0,0.03,0.0,0.0,0.02,0.19,0.21,0.0
Scala,0.35,0.0,0.23,0.02,0.29,0.0,0.03,0.0,0.24,0.05,0.16,0.05,0.01,0.02,0.0,0.33,0.29,0.45,0.15,0.0,0.02,0.02,0.17,0.28,0.01
Scalability and Performance Optimization,0.0,0.01,0.0,0.66,0.08,0.0,0.09,0.06,0.22,0.07,0.0,0.06,0.0,0.25,0.43,0.05,0.17,0.04,0.0,0.13,0.0,0.0,0.11,0.0,0.0
Scrum,0.01,0.01,0.22,0.34,0.25,0.08,0.02,0.0,0.48,0.03,0.08,0.79,0.0,0.96,0.0,0.44,0.4,0.0,0.07,0.0,0.68,0.01,0.12,0.0,0.07
Security Auditing,0.0,0.05,0.25,0.0,0.14,0.11,0.03,0.25,0.01,0.0,0.36,0.0,0.02,0.0,0.04,0.01,0.02,0.0,0.1,0.02,0.0,0.0,0.23,0.0,0.03
Security Best Practices,0.0,0.0,0.04,0.09,0.25,0.01,0.01,0.29,0.0,0.01,0.72,0.0,0.02,0.0,0.37,0.01,0.02,0.09,0.0,0.01,0.0,0.06,0.37,0.01,0.01
Selenium,0.01,0.02,0.32,0.01,0.37,0.0,0.13,0.01,0.56,0.0,0.08,0.29,0.0,0.01,0.01,0.47,0.33,0.01,0.15,0.01,0.01,0.01,0.14,0.01,0.1
Sensor Integration,0.0,0.18,0.2,0.07,0.43,0.07,0.04,0.0,0.12,0.02,0.02,0.03,0.12,0.02,0.71,0.32,0.33,0.0,0.24,0.35,0.0,0.0,0.37,0.0,0.02
Server Administration,0.0,0.01,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0.27,0.0,0.0,0.01,0.02,0.01,0.01,0.08,0.0,0.0,0.0,0.0,0.79,0.02,0.0
Sketch,0.02,0.0,0.16,0.04,0.09,0.0,0.0,0.0,0.41,0.0,0.23,0.01,0.01,0.01,0.0,0.08,0.11,0.15,0.05,0.0,0.0,0.0,0.21,0.0,0.0
Smart contracts,0.0,0.05,0.12,0.03,0.34,0.11,0.16,0.6,0.11,0.0,0.22,0.01,0.31,0.0,0.17,0.26,0.24,0.35,0.3,0.27,0.0,0.0,0.27,0.0,0.05
Software Design Patterns,0.02,0.0,0.1,0.0,0.19,0.01,0.13,0.21,0.14,0.06,0.03,0.05,0.06,0.0,0.03,0.17,0.35,0.36,0.15,0.01,0.04,0.0,0.29,0.03,0.03
Spark,0.12,0.0,0.3,0.2,0.34,0.01,0.01,0.04,0.33,0.0,0.35,0.06,0.0,0.0,0.0,0.31,0.45,0.0,0.25,0.0,0.02,0.02,0.37,0.02,0.0
System Administration,0.0,0.06,0.02,0.67,0.01,0.62,0.0,0.0,0.0,0.06,0.81,0.0,0.18,0.67,0.12,0.0,0.0,0.11,0.0,0.0,0.13,0.02,0.97,0.5,0.05
System Architecture Design,0.0,0.02,0.05,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.04,0.0,0.05,0.01,0.07,0.0,0.02,0.19,0.36,0.01,0.0,0.0,0.41,0.0,0.12
TCP/IP,0.0,0.01,0.12,0.37,0.28,0.01,0.02,0.0,0.23,0.0,0.41,0.02,0.0,0.0,0.45,0.33,0.41,0.09,0.06,0.35,0.0,0.01,0.18,0.13,0.01
Technical Documentation,0.33,0.05,0.13,0.17,0.32,0.01,0.34,0.53,0.11,0.17,0.26,0.0,0.52,0.23,0.17,0.1,0.75,0.34,0.67,0.12,0.38,0.06,0.88,0.03,0.03
TensorFlow,0.02,0.0,0.09,0.0,0.37,0.0,0.01,0.0,0.16,0.0,0.06,0.01,0.0,0.0,0.0,0.29,0.37,0.0,0.19,0.0,0.0,0.0,0.05,0.0,0.0
Test-Driven Development (TDD),0.08,0.65,0.4,0.6,0.74,0.63,0.32,0.5,0.9,0.66,0.19,0.57,0.22,0.08,0.57,0.78,0.58,0.41,0.63,0.64,0.41,0.03,0.45,0.07,0.24
Troubleshooting,0.01,0.31,0.08,0.67,0.5,0.02,0.01,0.05,0.22,0.0,0.01,0.0,0.23,0.01,0.05,0.9,0.01,0.14,0.01,0.04,0.05,0.01,0.74,0.0,0.09
