Skills,"As a user, I'd like to be able to select custom fields of type Date Picker in the Two Dimensional Filter Statistics gadget, X and Y axis.         Currently this is not available.",As a user I would like to have the ability to start a thread on a Jira that is being worked on by several several users so as to avoid lengthy comment strings that are not relevant to all users.,As a user I want to click column names to sort them because it's a familiar paradigm to me and so I don't have to type in the query bar to sort the field.,"As a JIRA Administrators, I'd like to be able to set the timeout for the rapid boards. Sometimes users are in remote locations where it's excepted that the load times will be very high.",As a new developer I want to restore a dump to my local machine so I can set up a new development environment.,"As a Jira administrator, I would like to customize the image that is displayed when we select the Unassigned/Automatic option for user fields.         !abc.png!","As a developer, I'd like to add a mongodb source using an xml and a property file supporting mixing in of parameters so that I can use this module to ingest data from Mongo.","As a developer, I need a Python SDK, so I develop application with NodeJS to interact with blockchain.",As a theme designer I want a fast change test iterate loop in order to dev things quickly,"As a user of Maven and REST, I would like the ability to create and update a group repository via the API.","As an administrator, I want to be able to determine app login by granting this as a global permission for certain groups and/or users.",As a Product Owner   I would like a hotkey for the Backlog Search in Agile Plan mode  So that I can search for stories with less switching between a keyboard and mouse.,"As a user, I want to be able to configure the default expression language for my project so that I can use Weave as my expression language.","As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping",As a Compass user I would like to export and import my favorite list so that other users may access the same hosts without having to type anything,As a developer I want to copy data from production or staging to my local development environment so I can debug an application issue.,"As an application developer, I want documentation for upgrade flows","As a user, I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.",As a developer I want to copy a document to clipboard as json so I can share the document with other members on my team and/or compare it with the output from my application.,As a developer I want to debug my Alloy projects using the Studio debugger,"As a Jira Software Administrator, I would like to be able to create and use a schema for Issue Detail View in Agile boards.    It would facilitate the standardization of board configuration.","As a customer, I would like to have the possibility of configuring the calendar on the Log Work Screen. As an example, hide week number information.","As an admin , I would like to have the ability to remove the tab Discover option from the Switch to tab. Please refer attachment. We do not want to see More atlassian products under this Discover tab.","As a user of REST, I would like the capability to administrate my Raw repositories.  This ticket implements PUT and POST endpoints.",As a user I would like an action to be able to delete a specific worklog (from a specifc author at a specific date) in Automation for JIRA.     Today I can only add a worklog.
Blockchain security,0.0,0.29,0.06,0.01,0.05,0.02,0.01,0.72,0.27,0.0,0.15,0.0,0.22,0.02,0.01,0.0,0.16,0.03,0.07,0.0,0.0,0.01,0.13,0.0,0.01
Budgeting,0.0,0.17,0.28,0.01,0.0,0.08,0.15,0.02,0.01,0.01,0.04,0.0,0.2,0.1,0.01,0.0,0.01,0.17,0.18,0.01,0.01,0.02,0.11,0.01,0.02
Build Automation,0.1,0.31,0.39,0.02,0.12,0.07,0.02,0.06,0.21,0.08,0.3,0.01,0.47,0.23,0.11,0.1,0.15,0.15,0.18,0.01,0.04,0.16,0.4,0.02,0.03
CSS,0.06,0.11,0.06,0.01,0.14,0.0,0.0,0.0,0.03,0.0,0.15,0.02,0.04,0.02,0.0,0.23,0.25,0.01,0.0,0.0,0.03,0.08,0.37,0.0,0.04
Cassandra,0.3,0.0,0.58,0.08,0.31,0.0,0.0,0.0,0.55,0.0,0.48,0.46,0.25,0.01,0.0,0.58,0.64,0.01,0.21,0.0,0.0,0.27,0.33,0.14,0.0
Cloud Architecture,0.07,0.45,0.41,0.0,0.16,0.04,0.08,0.01,0.5,0.03,0.43,0.0,0.51,0.02,0.03,0.18,0.4,0.25,0.38,0.01,0.01,0.12,0.36,0.06,0.0
Cloud Native Application Development,0.02,0.2,0.04,0.0,0.08,0.0,0.11,0.01,0.05,0.0,0.11,0.0,0.35,0.04,0.02,0.23,0.22,0.05,0.16,0.01,0.01,0.05,0.28,0.02,0.01
CoAP,0.21,0.11,0.56,0.03,0.31,0.1,0.25,0.28,0.55,0.14,0.55,0.21,0.0,0.03,0.04,0.57,0.52,0.43,0.44,0.02,0.2,0.13,0.42,0.2,0.0
Computer Vision,0.01,0.25,0.14,0.06,0.17,0.03,0.18,0.0,0.28,0.06,0.27,0.01,0.31,0.06,0.01,0.2,0.32,0.31,0.21,0.0,0.02,0.04,0.23,0.04,0.07
Continuous Integration/Continuous Deployment,0.02,0.3,0.1,0.01,0.09,0.01,0.17,0.01,0.39,0.03,0.07,0.01,0.44,0.53,0.03,0.77,0.67,0.08,0.33,0.01,0.06,0.05,0.19,0.02,0.06
Cross Browser Compatibility,0.02,0.2,0.24,0.01,0.07,0.05,0.25,0.03,0.33,0.04,0.16,0.01,0.2,0.02,0.26,0.26,0.34,0.1,0.42,0.03,0.04,0.05,0.35,0.08,0.05
Cryptocurrency development,0.01,0.26,0.05,0.05,0.16,0.02,0.02,0.98,0.03,0.0,0.04,0.0,0.2,0.07,0.0,0.02,0.0,0.02,0.08,0.0,0.0,0.01,0.05,0.0,0.06
Cryptography,0.0,0.27,0.27,0.0,0.21,0.02,0.03,0.01,0.12,0.0,0.08,0.0,0.32,0.08,0.02,0.03,0.12,0.01,0.07,0.01,0.0,0.01,0.17,0.0,0.05
Data Engineering,0.02,0.35,0.03,0.0,0.03,0.0,0.11,0.0,0.0,0.07,0.0,0.0,0.46,0.14,0.0,0.04,0.0,0.28,0.03,0.0,0.0,0.01,0.14,0.16,0.09
Data Manipulation,0.15,0.17,0.08,0.02,0.19,0.06,0.76,0.01,0.05,0.01,0.02,0.0,0.42,0.05,0.07,0.22,0.03,0.12,0.12,0.06,0.06,0.02,0.16,0.02,0.0
Data Manipulation and Cleaning,0.05,0.35,0.27,0.04,0.37,0.14,0.44,0.02,0.18,0.06,0.05,0.0,0.43,0.33,0.09,0.54,0.24,0.28,0.29,0.18,0.04,0.04,0.43,0.06,0.22
Data Mining,0.02,0.3,0.14,0.02,0.13,0.05,0.34,0.01,0.14,0.02,0.07,0.01,0.4,0.12,0.01,0.13,0.17,0.42,0.16,0.02,0.01,0.02,0.27,0.01,0.0
Data Modeling,0.06,0.41,0.22,0.0,0.2,0.08,0.65,0.01,0.01,0.04,0.07,0.0,0.58,0.02,0.05,0.33,0.21,0.55,0.42,0.04,0.21,0.05,0.47,0.03,0.0
Data Visualization,0.18,0.47,0.51,0.03,0.16,0.21,0.13,0.0,0.13,0.06,0.17,0.01,0.6,0.04,0.06,0.11,0.25,0.47,0.4,0.01,0.08,0.05,0.46,0.05,0.02
Data Warehousing,0.03,0.28,0.26,0.02,0.09,0.12,0.24,0.06,0.31,0.16,0.05,0.0,0.39,0.21,0.09,0.18,0.28,0.47,0.15,0.06,0.01,0.05,0.17,0.23,0.06
DevOps,0.09,0.3,0.11,0.03,0.2,0.04,0.38,0.03,0.35,0.12,0.02,0.02,0.29,0.09,0.02,0.77,0.37,0.17,0.46,0.01,0.06,0.06,0.23,0.18,0.15
Disaster Recovery Planning,0.01,0.15,0.17,0.01,0.01,0.05,0.07,0.02,0.05,0.01,0.01,0.0,0.24,0.15,0.02,0.0,0.0,0.06,0.13,0.02,0.0,0.0,0.09,0.01,0.03
Django,0.12,0.0,0.23,0.0,0.14,0.0,0.01,0.0,0.29,0.0,0.25,0.1,0.06,0.0,0.0,0.36,0.36,0.02,0.2,0.0,0.0,0.09,0.19,0.12,0.0
Docker,0.06,0.0,0.19,0.01,0.12,0.0,0.01,0.0,0.27,0.0,0.32,0.07,0.05,0.03,0.03,0.44,0.26,0.04,0.07,0.0,0.0,0.05,0.12,0.01,0.01
ETL,0.15,0.33,0.39,0.09,0.32,0.13,0.23,0.02,0.57,0.05,0.43,0.23,0.05,0.1,0.21,0.51,0.37,0.34,0.28,0.01,0.2,0.14,0.51,0.06,0.01
Embedded Systems,0.12,0.37,0.43,0.01,0.24,0.07,0.2,0.01,0.3,0.05,0.24,0.01,0.46,0.22,0.09,0.09,0.08,0.26,0.32,0.01,0.0,0.14,0.32,0.1,0.11
Ethical Hacking,0.02,0.15,0.05,0.02,0.09,0.01,0.01,0.03,0.33,0.01,0.06,0.01,0.22,0.03,0.03,0.07,0.03,0.04,0.02,0.01,0.02,0.01,0.18,0.01,0.03
Firewall Configuration,0.0,0.24,0.32,0.01,0.04,0.01,0.05,0.01,0.32,0.0,0.13,0.0,0.04,0.2,0.04,0.03,0.28,0.03,0.3,0.15,0.0,0.0,0.23,0.0,0.0
Flask,0.24,0.0,0.29,0.02,0.26,0.0,0.07,0.0,0.38,0.01,0.33,0.33,0.02,0.01,0.0,0.49,0.42,0.06,0.33,0.0,0.0,0.14,0.1,0.23,0.01
Flutter,0.19,0.05,0.47,0.31,0.31,0.05,0.02,0.01,0.59,0.0,0.34,0.17,0.0,0.04,0.0,0.49,0.45,0.24,0.24,0.0,0.0,0.09,0.32,0.2,0.13
GCP,0.32,0.01,0.53,0.16,0.32,0.07,0.29,0.11,0.54,0.12,0.49,0.45,0.0,0.05,0.05,0.53,0.47,0.46,0.39,0.01,0.03,0.24,0.43,0.27,0.0
Git,0.18,0.0,0.28,0.0,0.17,0.0,0.01,0.0,0.3,0.01,0.25,0.16,0.01,0.04,0.02,0.41,0.29,0.05,0.04,0.0,0.0,0.06,0.23,0.02,0.0
GraphQL,0.04,0.02,0.14,0.03,0.2,0.0,0.0,0.0,0.37,0.0,0.25,0.07,0.02,0.0,0.02,0.37,0.31,0.04,0.0,0.01,0.05,0.06,0.35,0.01,0.04
HTML,0.06,0.05,0.08,0.01,0.09,0.0,0.0,0.0,0.05,0.01,0.11,0.03,0.05,0.0,0.08,0.11,0.19,0.06,0.0,0.01,0.03,0.08,0.34,0.0,0.04
Hadoop,0.12,0.01,0.25,0.04,0.21,0.0,0.0,0.0,0.26,0.0,0.24,0.13,0.07,0.01,0.01,0.26,0.39,0.01,0.11,0.0,0.0,0.06,0.15,0.03,0.0
Hardware/Software Integration,0.12,0.33,0.25,0.02,0.22,0.02,0.08,0.02,0.38,0.01,0.3,0.01,0.42,0.05,0.17,0.26,0.18,0.08,0.29,0.41,0.01,0.09,0.47,0.01,0.01
IT Support,0.07,0.29,0.27,0.0,0.0,0.09,0.0,0.0,0.11,0.04,0.01,0.0,0.29,0.1,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.45,0.11,0.16
Incident Response,0.01,0.16,0.22,0.03,0.01,0.07,0.09,0.11,0.21,0.02,0.04,0.0,0.34,0.21,0.03,0.0,0.06,0.18,0.16,0.02,0.01,0.02,0.08,0.03,0.01
Integration Testing and System Testing,0.02,0.3,0.11,0.04,0.06,0.04,0.04,0.06,0.17,0.01,0.01,0.0,0.29,0.39,0.02,0.27,0.07,0.05,0.41,0.02,0.02,0.02,0.24,0.02,0.23
Intrusion Detection,0.0,0.28,0.29,0.02,0.15,0.11,0.17,0.03,0.28,0.01,0.14,0.0,0.47,0.17,0.03,0.25,0.23,0.21,0.33,0.12,0.01,0.02,0.37,0.0,0.08
IoT,0.23,0.35,0.36,0.04,0.23,0.1,0.17,0.0,0.42,0.01,0.34,0.02,0.43,0.05,0.1,0.12,0.19,0.24,0.22,0.01,0.02,0.09,0.19,0.1,0.04
JUnit,0.14,0.02,0.29,0.0,0.18,0.04,0.01,0.0,0.26,0.02,0.31,0.21,0.0,0.2,0.0,0.35,0.2,0.19,0.13,0.0,0.01,0.12,0.25,0.04,0.0
Java,0.14,0.04,0.21,0.0,0.21,0.01,0.05,0.0,0.26,0.0,0.27,0.19,0.0,0.01,0.01,0.36,0.45,0.15,0.15,0.01,0.01,0.12,0.28,0.11,0.03
JavaScript,0.12,0.02,0.13,0.02,0.26,0.01,0.01,0.32,0.34,0.01,0.34,0.08,0.01,0.08,0.04,0.49,0.35,0.15,0.01,0.02,0.06,0.11,0.45,0.05,0.03
Kanban,0.11,0.0,0.23,0.0,0.23,0.02,0.02,0.01,0.31,0.0,0.39,0.02,0.0,0.58,0.0,0.28,0.21,0.19,0.03,0.0,0.0,0.09,0.47,0.03,0.0
Kotlin,0.08,0.01,0.1,0.02,0.15,0.0,0.02,0.0,0.18,0.0,0.13,0.08,0.0,0.0,0.0,0.21,0.15,0.03,0.07,0.0,0.0,0.03,0.11,0.03,0.01
Kubernetes,0.05,0.0,0.19,0.03,0.11,0.0,0.01,0.0,0.28,0.0,0.22,0.04,0.01,0.02,0.01,0.25,0.34,0.01,0.12,0.0,0.0,0.05,0.11,0.03,0.0
MQTT,0.09,0.01,0.56,0.02,0.37,0.05,0.0,0.01,0.53,0.03,0.47,0.22,0.01,0.02,0.06,0.58,0.51,0.05,0.02,0.04,0.01,0.15,0.56,0.03,0.0
Machine Learning,0.01,0.02,0.0,0.01,0.09,0.01,0.08,0.0,0.09,0.0,0.05,0.01,0.12,0.0,0.01,0.01,0.04,0.07,0.01,0.01,0.01,0.02,0.24,0.0,0.04
Malware Analysis,0.0,0.18,0.26,0.0,0.06,0.08,0.07,0.0,0.01,0.01,0.04,0.0,0.29,0.1,0.01,0.0,0.07,0.12,0.22,0.0,0.0,0.01,0.16,0.01,0.02
Manual Testing,0.01,0.05,0.06,0.02,0.12,0.01,0.01,0.01,0.02,0.01,0.04,0.0,0.17,0.05,0.03,0.23,0.02,0.02,0.08,0.0,0.01,0.02,0.21,0.01,0.01
Matplotlib,0.24,0.07,0.41,0.01,0.19,0.01,0.03,0.0,0.26,0.03,0.27,0.22,0.03,0.03,0.0,0.35,0.41,0.09,0.26,0.0,0.0,0.16,0.23,0.06,0.03
Memory Management and Performance Profiling,0.01,0.39,0.29,0.02,0.17,0.1,0.25,0.01,0.17,0.01,0.05,0.0,0.44,0.38,0.08,0.28,0.44,0.21,0.38,0.31,0.02,0.02,0.38,0.0,0.03
Microsoft SQL Server,0.33,0.0,0.6,0.01,0.23,0.0,0.0,0.0,0.3,0.0,0.26,0.43,0.16,0.08,0.0,0.4,0.48,0.05,0.21,0.0,0.0,0.26,0.15,0.05,0.0
MongoDB,0.11,0.0,0.27,0.03,0.19,0.0,0.92,0.0,0.27,0.0,0.3,0.18,0.02,0.03,0.0,0.41,0.37,0.0,0.05,0.01,0.0,0.11,0.12,0.04,0.0
MySQL,0.18,0.0,0.38,0.0,0.22,0.0,0.0,0.0,0.21,0.0,0.27,0.24,0.19,0.02,0.0,0.41,0.47,0.0,0.08,0.01,0.0,0.18,0.14,0.01,0.0
Natural Language Processing,0.0,0.07,0.06,0.0,0.12,0.03,0.03,0.0,0.03,0.0,0.02,0.01,0.24,0.04,0.02,0.01,0.07,0.09,0.36,0.0,0.0,0.01,0.32,0.0,0.0
Network Monitoring,0.0,0.44,0.41,0.0,0.05,0.12,0.39,0.03,0.34,0.04,0.13,0.0,0.52,0.22,0.3,0.36,0.32,0.51,0.43,0.06,0.03,0.12,0.48,0.01,0.05
Network Security,0.02,0.44,0.33,0.0,0.09,0.13,0.16,0.02,0.38,0.02,0.41,0.0,0.43,0.2,0.37,0.06,0.35,0.2,0.33,0.05,0.03,0.1,0.42,0.01,0.11
NoSQL,0.02,0.0,0.04,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.07,0.04,0.08,0.0,0.01,0.18,0.23,0.01,0.0,0.01,0.0,0.02,0.05,0.0,0.01
Node.js,0.14,0.01,0.24,0.07,0.25,0.0,0.28,0.97,0.34,0.0,0.34,0.15,0.01,0.01,0.01,0.52,0.36,0.16,0.27,0.0,0.02,0.11,0.18,0.11,0.02
Oracle,0.17,0.0,0.38,0.0,0.29,0.0,0.0,0.0,0.41,0.0,0.31,0.25,0.02,0.01,0.0,0.42,0.43,0.06,0.28,0.0,0.0,0.16,0.03,0.15,0.0
Pandas,0.05,0.14,0.28,0.2,0.23,0.01,0.0,0.01,0.5,0.04,0.33,0.05,0.03,0.21,0.01,0.48,0.53,0.02,0.33,0.01,0.0,0.04,0.04,0.15,0.19
Penetration Testing,0.01,0.2,0.15,0.01,0.08,0.03,0.12,0.01,0.15,0.02,0.01,0.0,0.25,0.17,0.02,0.18,0.06,0.05,0.22,0.03,0.03,0.02,0.16,0.01,0.11
Performance Testing,0.0,0.23,0.09,0.08,0.03,0.03,0.06,0.01,0.09,0.02,0.02,0.0,0.36,0.15,0.03,0.51,0.02,0.2,0.34,0.02,0.01,0.02,0.25,0.01,0.12
PostgreSQL,0.14,0.0,0.32,0.0,0.17,0.0,0.0,0.0,0.23,0.0,0.23,0.15,0.07,0.0,0.0,0.3,0.44,0.0,0.11,0.02,0.0,0.19,0.13,0.02,0.0
Project Planning,0.01,0.29,0.29,0.01,0.01,0.1,0.08,0.01,0.01,0.03,0.01,0.0,0.42,0.19,0.01,0.0,0.0,0.18,0.27,0.01,0.02,0.02,0.16,0.03,0.18
PyTorch,0.14,0.0,0.43,0.07,0.23,0.0,0.15,0.07,0.43,0.01,0.34,0.28,0.02,0.01,0.01,0.48,0.47,0.15,0.33,0.0,0.0,0.1,0.16,0.11,0.01
Quality Assurance,0.01,0.28,0.27,0.0,0.0,0.13,0.0,0.03,0.05,0.07,0.05,0.0,0.38,0.2,0.02,0.01,0.03,0.09,0.01,0.01,0.04,0.0,0.42,0.02,0.17
RDBMS,0.28,0.0,0.55,0.0,0.26,0.0,0.0,0.0,0.38,0.0,0.35,0.33,0.09,0.0,0.0,0.47,0.46,0.01,0.19,0.01,0.0,0.17,0.2,0.01,0.0
REST,0.35,0.09,0.25,0.02,0.41,0.12,0.07,0.01,0.41,0.73,0.61,0.15,0.45,0.08,0.48,0.53,0.51,0.49,0.14,0.03,0.19,0.18,0.74,0.94,0.18
RESTful Architecture,0.1,0.1,0.27,0.03,0.22,0.04,0.27,0.01,0.36,0.66,0.43,0.04,0.39,0.03,0.43,0.42,0.4,0.5,0.22,0.01,0.11,0.12,0.55,0.79,0.02
React,0.2,0.0,0.39,0.06,0.26,0.0,0.0,0.0,0.37,0.0,0.42,0.23,0.0,0.05,0.0,0.42,0.36,0.13,0.14,0.0,0.02,0.3,0.45,0.03,0.02
React Native,0.1,0.01,0.26,0.03,0.21,0.0,0.01,0.0,0.29,0.0,0.26,0.14,0.01,0.0,0.01,0.38,0.28,0.04,0.11,0.0,0.01,0.15,0.26,0.03,0.01
Real-Time Systems,0.14,0.02,0.42,0.09,0.22,0.0,0.13,0.08,0.47,0.07,0.23,0.1,0.37,0.12,0.05,0.4,0.38,0.32,0.34,0.0,0.0,0.12,0.17,0.1,0.01
Responsive Design,0.23,0.17,0.7,0.15,0.24,0.26,0.49,0.02,0.43,0.12,0.43,0.15,0.2,0.05,0.59,0.34,0.32,0.5,0.23,0.02,0.24,0.14,0.83,0.24,0.01
Responsive Web Design,0.09,0.04,0.58,0.01,0.15,0.11,0.02,0.0,0.17,0.02,0.11,0.0,0.41,0.05,0.42,0.01,0.09,0.06,0.01,0.02,0.0,0.08,0.73,0.06,0.01
Risk Management,0.01,0.24,0.27,0.0,0.0,0.06,0.01,0.08,0.02,0.04,0.01,0.0,0.3,0.16,0.01,0.0,0.01,0.12,0.02,0.01,0.0,0.0,0.3,0.05,0.07
Routing and Switching,0.05,0.43,0.43,0.25,0.35,0.16,0.37,0.33,0.56,0.12,0.4,0.07,0.45,0.52,0.16,0.65,0.58,0.42,0.52,0.51,0.08,0.06,0.39,0.17,0.27
SQL,0.03,0.07,0.28,0.0,0.14,0.01,0.0,0.0,0.12,0.0,0.18,0.1,0.08,0.03,0.02,0.34,0.37,0.02,0.01,0.04,0.01,0.05,0.29,0.0,0.0
SVN,0.22,0.01,0.48,0.01,0.33,0.02,0.08,0.01,0.49,0.02,0.39,0.29,0.0,0.04,0.2,0.48,0.45,0.31,0.05,0.0,0.03,0.13,0.48,0.04,0.01
Scala,0.12,0.01,0.15,0.0,0.21,0.0,0.08,0.0,0.3,0.0,0.25,0.19,0.0,0.0,0.0,0.31,0.23,0.13,0.13,0.0,0.0,0.12,0.05,0.09,0.01
Scalability and Performance Optimization,0.07,0.63,0.29,0.41,0.26,0.18,0.54,0.06,0.46,0.13,0.2,0.23,0.53,0.47,0.86,0.46,0.57,0.8,0.63,0.4,0.13,0.12,0.47,0.07,0.18
Scrum,0.05,0.17,0.19,0.01,0.12,0.01,0.03,0.0,0.19,0.0,0.23,0.02,0.0,0.64,0.0,0.19,0.02,0.1,0.13,0.0,0.06,0.05,0.25,0.01,0.0
Security Auditing,0.01,0.42,0.31,0.01,0.09,0.1,0.19,0.07,0.22,0.04,0.31,0.0,0.45,0.21,0.04,0.1,0.27,0.26,0.27,0.02,0.02,0.04,0.34,0.02,0.03
Security Best Practices,0.03,0.17,0.09,0.21,0.17,0.07,0.12,0.11,0.06,0.02,0.72,0.0,0.1,0.01,0.26,0.18,0.14,0.23,0.27,0.02,0.01,0.05,0.43,0.01,0.07
Selenium,0.14,0.01,0.32,0.01,0.26,0.0,0.01,0.0,0.43,0.0,0.29,0.19,0.04,0.16,0.0,0.45,0.28,0.03,0.21,0.0,0.0,0.09,0.06,0.03,0.01
Sensor Integration,0.02,0.41,0.42,0.01,0.24,0.11,0.29,0.01,0.43,0.09,0.34,0.01,0.5,0.24,0.02,0.43,0.36,0.41,0.44,0.15,0.08,0.08,0.45,0.07,0.12
Server Administration,0.01,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.17,0.0,0.2,0.21,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.04,0.63,0.06,0.02
Sketch,0.36,0.01,0.51,0.07,0.26,0.03,0.21,0.0,0.58,0.05,0.4,0.18,0.05,0.04,0.0,0.38,0.39,0.31,0.13,0.0,0.02,0.16,0.3,0.13,0.01
Smart contracts,0.01,0.31,0.07,0.02,0.24,0.04,0.01,0.48,0.36,0.0,0.12,0.0,0.16,0.02,0.01,0.04,0.17,0.04,0.09,0.01,0.01,0.04,0.2,0.0,0.01
Software Design Patterns,0.05,0.1,0.21,0.07,0.14,0.02,0.62,0.18,0.04,0.06,0.46,0.02,0.24,0.0,0.13,0.39,0.19,0.4,0.29,0.07,0.07,0.13,0.32,0.11,0.01
Spark,0.16,0.0,0.36,0.06,0.27,0.0,0.0,0.0,0.45,0.0,0.42,0.38,0.0,0.0,0.0,0.48,0.46,0.02,0.29,0.0,0.0,0.15,0.21,0.08,0.0
System Administration,0.03,0.23,0.15,0.0,0.0,0.02,0.0,0.01,0.05,0.01,0.62,0.0,0.27,0.29,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.93,0.1,0.01
System Architecture Design,0.02,0.27,0.23,0.0,0.1,0.04,0.05,0.04,0.01,0.05,0.11,0.0,0.3,0.11,0.01,0.03,0.01,0.02,0.23,0.03,0.02,0.01,0.36,0.07,0.18
TCP/IP,0.05,0.04,0.25,0.02,0.18,0.02,0.02,0.0,0.27,0.01,0.33,0.01,0.21,0.09,0.52,0.34,0.42,0.12,0.14,0.04,0.0,0.02,0.31,0.0,0.05
Technical Documentation,0.06,0.18,0.15,0.01,0.03,0.04,0.01,0.05,0.01,0.03,0.03,0.0,0.03,0.03,0.03,0.01,0.23,0.02,0.39,0.06,0.01,0.0,0.28,0.06,0.07
TensorFlow,0.12,0.0,0.17,0.01,0.2,0.0,0.0,0.0,0.27,0.0,0.28,0.12,0.0,0.06,0.0,0.29,0.26,0.03,0.07,0.0,0.0,0.08,0.18,0.01,0.0
Test-Driven Development (TDD),0.01,0.16,0.09,0.03,0.13,0.01,0.06,0.09,0.57,0.01,0.1,0.01,0.08,0.05,0.06,0.38,0.07,0.05,0.13,0.06,0.03,0.03,0.29,0.01,0.04
Troubleshooting,0.05,0.35,0.15,0.02,0.03,0.05,0.05,0.02,0.04,0.03,0.01,0.0,0.29,0.18,0.03,0.82,0.03,0.11,0.2,0.66,0.1,0.02,0.36,0.02,0.03
