Skills,"an authentication issue, the dreaded 420 response from the Twitter API, etc. If I could somehow be notified about the issue, then I could provide that information to my user so she could fix the issue or at least understand what is going on.  I've seen that the REST API will support an endpoint to check the current status of a stream, but it is not yet available and it would require my application to be polling constantly the stream, with all the disadvantages compared to a pushing mechanism."
Project Management tools,0.22
Projects,0.28
Providers,0.36
Provisioning,0.36
Proxy,0.33
Proxy Repository,0.27
Publishing,0.36
Publishing / RSS,0.27
Pull Requests,0.05
PyDev,0.25
PyPI,0.11
Python SDK,0.06
Python Signing,0.07
QA,0.2
Query,0.35
Query Bar,0.18
Query History,0.15
Query Operations,0.14
Querying,0.35
R,0.52
REST,0.68
REST API,0.59
REST Archetype,0.22
REST Metadata,0.28
REST Module,0.32
REST Scaffolder,0.25
REST Tooling,0.3
Rapture,0.14
Rate Limiting,0.18
React,0.07
Reactive Streams,0.29
Readonly,0.09
Real Time Server Stats,0.1
Realm,0.42
Refactoring,0.15
Registry,0.26
Release Hub,0.21
Release Packaging,0.13
Replication,0.16
Report,0.58
Reports,0.19
Repositories,0.11
Repository,0.38
Repository (Bitbucket),0.07
Repository (CVS),0.09
Repository (Git),0.08
Repository (Github),0.08
Repository (Mercurial),0.13
Repository (Perforce),0.09
Repository (Subversion),0.09
Repository Health Check,0.2
Requirements,0.26
Requirements Documents,0.29
Research & Design,0.29
Responsibility tracking,0.64
Review Documents,0.2
Risk Register,0.41
Roadmap,0.35
Roles / Access,0.45
Routing,0.45
Ruby,0.19
RubyGems,0.21
Runtime,0.44
Runtime platform,0.67
SAL Integration,0.51
SAML,0.24
SAT,0.42
SCORM,0.33
SCP and SSH tasks,0.11
SDK Configuration,0.34
SDK-Android,0.15
SDK-JavaScript,0.13
SDK-Nodejs,0.06
SDK-PHP,0.08
SDK-Ruby,0.13
SDK-Ruby-Rails,0.27
SDK-iOS,0.09
SEO,0.05
SMTP,0.03
SOAP,0.09
SOAP Engine,0.04
SOAP Metadata,0.1
SOAP Module,0.12
SOAP Proxy,0.05
SOAP Releases,0.04
SOAP Scaffolder,0.13
SOAP Tooling,0.13
SPA,0.35
SSL,0.05
SSO,0.41
SUIT,0.5
SVG,0.12
Sample Data,0.39
Samples,0.37
Sass,0.04
Scala,0.18
Scalability,0.5
Scheduled Tasks,0.08
Schema,0.39
Schema Validation,0.07
Science Pipelines,0.18
Scripting,0.23
Scrum Board,0.09
Security,0.64
Security & Permissions,0.31
Server - Administration,0.19
Server - Authentication,0.55
Server - EAP,0.26
Server - Installer / Setup,0.07
Server - Jobs,0.08
Server - Performance,0.25
Server - Platform,0.37
Server - Plugin  Development,0.12
Server - Source Distribution,0.48
Server - Upgrade Manager,0.14
Server administration,0.25
Servers,0.15
Service Infrastructure,0.77
Service: HTTP,0.18
Service: OAuth,0.42
Service: SOAP,0.27
Service: Scheduling,0.24
Services,0.65
Services Framework,0.39
Session Management,0.35
Seth,0.34
Setup,0.4
Setup Wizard,0.19
Sharding,0.07
Shell,0.15
Skinning,0.24
Slack integration,0.14
Smart Commits,0.26
Smart Proxy,0.13
Source Checkout Task,0.39
Sprint,0.37
Stability,0.52
Stack,0.37
Stack Documentation and UX,0.4
Stages,0.36
Staging,0.41
Startup,0.62
Stream Module,0.44
Stride,0.37
Studio,0.38
Studio Error reporting,0.24
Support,0.69
System Administration  - Global Permissions,0.06
System Administration - Configuration Tool,0.23
System Administration - General Configuration,0.28
System Administration - Integrity Checker,0.16
System Administration - Priorities,0.52
System Administration - Secure Administrator Sessions,0.25
System Administration - Statuses,0.37
System Administration - Troubleshooting and Support Tools (ATST),0.12
System Integration and Test,0.42
Systems Engineering,0.61
TCT,0.35
TTL,0.28
TWP - Editor,0.29
Table View,0.12
Tasks,0.35
Tech debt,0.29
Telemetry / Reporting,0.61
Telemetry Data,0.33
Templates,0.29
Terminal,0.3
Test Coverage,0.23
Test Data,0.29
Test Failure,0.09
Test Optimization,0.11
Test: Testing Framework,0.25
Testing,0.43
Testing Infrastructure,0.46
Tests,0.22
Testsuite,0.37
Text Search,0.08
Text/HTML Module,0.12
Theme,0.59
Themes,0.53
Third Party Software,0.22
Titanium,0.25
Titanium CLI,0.13
Titanium SDK,0.13
Titanium Studio,0.27
Tizen,0.13
Tomcat,0.13
Tomcat tasks,0.04
Tooling API,0.1
Tooling Client,0.26
Tools,0.45
Tools: Archetypes,0.22
Transaction Management,0.23
Translations,0.07
Transport: AJAX,0.13
Transport: Axis,0.17
Transport: EJB / RMI,0.29
Transport: FTP / SFTP,0.13
Transport: File,0.36
Transport: HTTP(S) / Jetty,0.21
Transport: JDBC,0.19
Transport: JMS,0.15
Transport: Quartz,0.13
Transport: Stream (System.in/out),0.4
Transport: TCP / UDP / SSL / Multicast,0.3
Transport: VM,0.26
Transport: XMPP (Jabber),0.04
Triggers,0.43
Troubleshooting and Support Tools (ATST),0.12
UGC,0.37
UI,0.56
UI / UX,0.64
UI / Usability,0.72
UPM (Universal Plugin Manager),0.04
URL ReWriter,0.24
UX,0.62
Unit tests,0.12
Universal Plugin Manager / Manage apps,0.13
Upgrade ,0.33
Upgrade/Downgrade,0.08
Upgrading,0.31
Upstream,0.41
Usability,0.73
User - Authentication,0.81
User - Global / Space Permissions,0.46
User - Groups,0.21
User Console,0.3
User Management,0.62
User Management - Delete User,0.06
User Management - Groups ,0.09
User Management - LDAP Integration,0.15
User Management - User Profile,0.29
"User Management, Crowd & LDAP integration",0.27
User Tours,0.2
User interface,0.76
Utility,0.63
VCS task,0.37
Valdator Server,0.31
Validation,0.18
Validator Global State,0.23
Validator Journal,0.14
Validator Networking,0.17
Verification,0.25
Versions,0.32
Views,0.4
Web Interface - Keyboard Navigation,0.13
Web Resources Manager,0.39
Web Services,0.26
Webhooks,0.07
Webpack,0.06
Widgets,0.16
Windows,0.33
Wire Protocol,0.31
Workflow Triggers,0.39
Write Operations,0.11
Write Ops,0.16
XLDB,0.08
XML,0.08
XML SDK,0.03
"Xcode, iOS and Cocoa",0.19
YAML,0.2
YARN Runtime,0.11
allocation,0.33
amplify-sdk,0.57
anaconda,0.29
androidlib,0.31
apk,0.27
appcd,0.69
c++ api,0.04
cni,0.5
cocoapods,0.37
containerization,0.53
core: Notifications,0.93
dataweave,0.47
db,0.36
doxygen,0.39
efd,0.54
eups,0.42
executor,0.32
fabric-amcl,0.45
fabric-build,0.34
fabric-ca,0.47
fabric-ca-build,0.43
fabric-ci,0.4
fabric-cli,0.34
fabric-common,0.31
fabric-crypto,0.2
fabric-docs,0.37
fabric-gossip,0.15
fabric-installers,0.16
fabric-ledger,0.23
fabric-modules,0.38
fabric-orderer,0.39
fabric-peer,0.22
fabric-quality,0.29
fabric-release,0.3
fabric-samples,0.37
fabric-sdk-go,0.44
fabric-sdk-java,0.42
fabric-sdk-node,0.39
fabric-sdk-py,0.47
fabric-test,0.38
fabric-token,0.4
fabric-tools,0.32
felis,0.38
fftw,0.55
flaky,0.95
flash,0.09
git,0.1
golang,0.32
gpu,0.33
iOS,0.19
iPad,0.23
ioslib,0.35
jQuery,0.04
java api,0.18
jdklib,0.18
jenkins,0.39
jms-module,0.53
json api,0.18
log,0.68
lua,0.4
mariadb,0.55
mariadbclient,0.65
master,0.56
matplotlib,0.24
modules,0.91
mule4,0.53
mysql,0.1
mysql-proxy,0.15
mysqlclient,0.24
network,0.55
next-gen,0.17
node-ios-device,0.34
partition,0.21
project website,0.29
python api,0.22
python wrapper,0.28
release,0.12
replicated log,0.75
scikit_learn,0.55
scisql,0.17
scons,0.39
skypix,0.34
stack release,0.25
statistics,0.08
storage,0.96
test,0.65
utils,0.55
verify,0.6
verify_metrics,0.44
webcommon,0.39
webservcommon,0.43
webui,0.47
windowslib,0.33
zookeeper,0.05
