Skills,HTML,Wireframing and Prototyping,MongoDB,Build Automation,Kubernetes,Hardware/Software Integration,Data Visualization,DevOps,User Research,Microsoft SQL Server,System Architecture Design,Azure,Virtualization VMware,Risk Management,Data Mining,Usability Testing,Security Best Practices,Cloud Architecture,Selenium,CoAP,Firewall Configuration,Cloud Native Application Development,IoT,Routing and Switching,PyTorch,Incident Response,SVN,Docker,UX Design,Git,Scalability and Performance Optimization,TCP/IP,Technical Documentation,scikit-learn,Vue.js,TensorFlow,Cassandra,ETL,Responsive Design,SQL,Performance Testing,Data Warehousing,GCP,Hadoop,Project Planning,UX/UI Design and Prototyping,MySQL,RDBMS,Computer Vision,Data Manipulation and Cleaning,Data Manipulation,UI Design,Data Modeling,Oracle,Virtualization Hyper-V,Security Auditing,Adobe XD,Cross Browser Compatibility,User Centric Design,Scrum,IT Support,Cryptocurrency development,Active Directory,Web Accessibility,System Administration,JUnit,Budgeting,Disaster Recovery Planning,Manual Testing,RESTful Architecture,Troubleshooting,React,Server Administration,Network Security,Malware Analysis,Django,Natural Language Processing,Continuous Integration/Continuous Deployment,Test-Driven Development (TDD),GraphQL,Web Development,Wireless Networking,PostgreSQL,Big Data Technologies,Android Mobile App Development,Flask,REST,Smart contracts,Integration Testing and System Testing,iOS Mobile App Development,JavaScript,AI,Machine Learning,Network Monitoring,Matplotlib,Embedded Systems,Spark,Penetration Testing,Software Design Patterns,Node.js,Sensor Integration,Kanban,VoIP (Voice over Internet Protocol),Agile Methodologies,CSS,Blockchain security,Cryptography,Flutter,Sketch,Backup and Recovery,Quality Assurance,Ethical Hacking,NoSQL,React Native,Pandas,Real-Time Systems,AWS,Angular,Responsive Web Design,Data Engineering,VPN,pytest,Memory Management and Performance Profiling,Intrusion Detection,MQTT
Acceptance Testing,0.33,0.02,0.13,0.03,0.05,0.04,0.01,0.05,0.01,0.08,0.0,0.3,0.02,0.01,0.0,0.03,0.08,0.01,0.25,0.9,0.0,0.06,0.03,0.02,0.08,0.0,0.22,0.03,0.0,0.14,0.01,0.13,0.08,0.19,0.21,0.5,0.26,0.33,0.01,0.08,0.0,0.0,0.27,0.09,0.0,0.0,0.07,0.07,0.03,0.0,0.0,0.01,0.0,0.28,0.0,0.0,0.3,0.18,0.01,0.04,0.01,0.04,0.0,0.07,0.0,0.34,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.01,0.0,0.03,0.02,0.0,0.02,0.13,0.06,0.01,0.05,0.02,0.13,0.37,0.01,0.13,0.0,0.17,0.46,0.11,0.46,0.0,0.07,0.19,0.32,0.0,0.12,0.36,0.01,0.08,0.02,0.26,0.29,0.03,0.02,0.24,0.12,0.01,0.03,0.0,0.03,0.07,0.1,0.2,0.24,0.21,0.01,0.0,0.13,0.33,0.0,0.0,0.18
Accessibility,0.62,0.13,0.02,0.0,0.03,0.02,0.04,0.0,0.1,0.01,0.01,0.75,0.0,0.0,0.0,0.89,0.0,0.01,0.16,0.96,0.0,0.12,0.0,0.03,0.01,0.01,0.29,0.0,0.06,0.22,0.0,0.04,0.08,0.08,0.07,0.12,0.39,0.62,0.37,0.04,0.0,0.0,0.39,0.01,0.03,0.04,0.02,0.17,0.0,0.0,0.0,0.12,0.01,0.02,0.0,0.0,0.27,0.65,0.66,0.0,0.0,0.01,0.0,0.98,0.0,0.16,0.0,0.0,0.09,0.0,0.01,0.12,0.0,0.0,0.0,0.02,0.29,0.0,0.0,0.26,0.02,0.0,0.01,0.0,0.26,0.58,0.01,0.02,0.0,0.24,0.58,0.52,0.32,0.0,0.01,0.24,0.31,0.0,0.07,0.53,0.0,0.09,0.03,0.03,0.54,0.0,0.0,0.39,0.26,0.01,0.0,0.0,0.01,0.12,0.26,0.07,0.12,0.63,0.47,0.0,0.3,0.37,0.0,0.0,0.42
Accessibility - Mobile,0.48,0.24,0.01,0.0,0.28,0.27,0.28,0.0,0.25,0.0,0.01,0.74,0.01,0.0,0.02,0.66,0.0,0.02,0.08,0.89,0.0,0.13,0.05,0.47,0.01,0.05,0.27,0.01,0.2,0.39,0.02,0.1,0.36,0.01,0.03,0.21,0.42,0.44,0.52,0.01,0.02,0.0,0.29,0.0,0.11,0.17,0.0,0.04,0.0,0.0,0.0,0.27,0.08,0.2,0.0,0.0,0.43,0.76,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.13,0.0,0.11,0.52,0.0,0.0,0.0,0.09,0.08,0.16,0.0,0.28,0.0,0.88,0.0,0.0,0.75,0.36,0.01,0.02,0.0,0.69,0.76,0.23,0.33,0.02,0.01,0.26,0.58,0.02,0.14,0.44,0.1,0.02,0.06,0.06,0.45,0.0,0.0,0.72,0.21,0.07,0.0,0.0,0.0,0.21,0.04,0.11,0.03,0.46,0.04,0.01,0.37,0.48,0.0,0.0,0.96
Active Objects,0.15,0.17,0.1,0.23,0.1,0.02,0.07,0.01,0.03,0.09,0.02,0.79,0.03,0.03,0.03,0.09,0.04,0.03,0.19,0.94,0.0,0.04,0.16,0.53,0.05,0.12,0.51,0.06,0.02,0.22,0.1,0.03,0.04,0.28,0.24,0.4,0.32,0.44,0.27,0.08,0.08,0.01,0.31,0.08,0.03,0.02,0.08,0.08,0.04,0.01,0.02,0.02,0.01,0.11,0.02,0.01,0.33,0.02,0.03,0.03,0.03,0.03,0.0,0.05,0.02,0.07,0.0,0.03,0.05,0.01,0.08,0.65,0.0,0.01,0.0,0.07,0.02,0.06,0.09,0.1,0.07,0.0,0.02,0.01,0.15,0.44,0.75,0.07,0.0,0.24,0.37,0.72,0.23,0.01,0.01,0.01,0.73,0.04,0.01,0.2,0.05,0.19,0.01,0.01,0.04,0.04,0.0,0.71,0.02,0.21,0.02,0.04,0.08,0.12,0.49,0.09,0.33,0.47,0.1,0.04,0.24,0.36,0.01,0.02,0.34
Activity Feed,0.45,0.07,0.05,0.26,0.02,0.21,0.14,0.11,0.02,0.0,0.0,0.31,0.01,0.01,0.02,0.1,0.07,0.0,0.14,0.69,0.0,0.15,0.03,0.24,0.01,0.02,0.12,0.0,0.03,0.09,0.2,0.08,0.02,0.01,0.21,0.52,0.14,0.15,0.14,0.1,0.02,0.0,0.08,0.14,0.0,0.14,0.01,0.04,0.0,0.02,0.05,0.12,0.05,0.02,0.0,0.0,0.25,0.2,0.1,0.01,0.01,0.04,0.0,0.21,0.01,0.26,0.0,0.0,0.05,0.0,0.09,0.19,0.0,0.06,0.03,0.01,0.01,0.11,0.01,0.17,0.01,0.01,0.0,0.25,0.4,0.06,0.0,0.47,0.01,0.45,0.44,0.18,0.55,0.03,0.01,0.22,0.25,0.0,0.02,0.34,0.34,0.07,0.01,0.14,0.44,0.04,0.01,0.76,0.01,0.04,0.01,0.0,0.02,0.06,0.65,0.25,0.04,0.48,0.43,0.02,0.09,0.24,0.0,0.0,0.31
Activity completion,0.41,0.0,0.31,0.16,0.15,0.0,0.01,0.2,0.0,0.1,0.0,0.42,0.02,0.0,0.0,0.01,0.01,0.01,0.25,0.96,0.0,0.02,0.04,0.01,0.08,0.0,0.31,0.05,0.0,0.29,0.02,0.1,0.01,0.08,0.37,0.42,0.21,0.49,0.01,0.15,0.01,0.0,0.58,0.28,0.0,0.0,0.06,0.22,0.02,0.0,0.0,0.06,0.0,0.19,0.01,0.0,0.33,0.16,0.05,0.05,0.02,0.0,0.12,0.05,0.01,0.42,0.0,0.0,0.02,0.02,0.0,0.07,0.01,0.02,0.0,0.06,0.01,0.01,0.0,0.22,0.0,0.01,0.18,0.04,0.11,0.08,0.01,0.4,0.0,0.14,0.44,0.28,0.32,0.01,0.02,0.13,0.05,0.0,0.0,0.36,0.02,0.19,0.04,0.21,0.37,0.03,0.0,0.03,0.02,0.01,0.0,0.0,0.07,0.19,0.39,0.18,0.29,0.44,0.01,0.0,0.15,0.29,0.0,0.0,0.55
Add-ons - Better Retros,0.08,0.04,0.0,0.05,0.0,0.05,0.02,0.01,0.01,0.01,0.0,0.07,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.1,0.0,0.02,0.0,0.05,0.01,0.0,0.01,0.0,0.0,0.03,0.06,0.0,0.11,0.05,0.03,0.07,0.06,0.01,0.02,0.01,0.03,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.04,0.0,0.0,0.23,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.13,0.15,0.05,0.14,0.0,0.0,0.02,0.01,0.0,0.03,0.07,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.01,0.0,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.01,0.0,0.05,0.16,0.0,0.0,0.03
Add-ons - Confluence Questions,0.21,0.06,0.02,0.0,0.01,0.01,0.04,0.01,0.01,0.04,0.0,0.13,0.01,0.01,0.0,0.01,0.0,0.0,0.03,0.19,0.0,0.05,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.06,0.02,0.01,0.03,0.1,0.04,0.09,0.06,0.02,0.04,0.02,0.01,0.0,0.01,0.02,0.0,0.03,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.05,0.0,0.0,0.2,0.02,0.01,0.0,0.02,0.03,0.0,0.06,0.0,0.01,0.0,0.0,0.01,0.0,0.06,0.02,0.0,0.01,0.0,0.0,0.06,0.01,0.03,0.01,0.07,0.01,0.01,0.02,0.16,0.01,0.0,0.03,0.0,0.19,0.3,0.11,0.25,0.0,0.0,0.03,0.01,0.0,0.0,0.11,0.0,0.0,0.05,0.03,0.1,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.1,0.04,0.01,0.09,0.21,0.0,0.0,0.07
Add-ons - Confluence Slack,0.2,0.1,0.0,0.13,0.0,0.14,0.05,0.03,0.03,0.0,0.01,0.03,0.0,0.04,0.02,0.16,0.05,0.05,0.0,0.23,0.0,0.04,0.0,0.29,0.0,0.02,0.01,0.0,0.03,0.0,0.34,0.0,0.06,0.0,0.01,0.0,0.05,0.03,0.28,0.01,0.11,0.0,0.02,0.0,0.03,0.03,0.0,0.0,0.0,0.07,0.04,0.01,0.0,0.01,0.0,0.0,0.02,0.01,0.06,0.0,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.06,0.01,0.17,0.0,0.0,0.03,0.01,0.0,0.01,0.21,0.04,0.01,0.05,0.02,0.0,0.0,0.04,0.01,0.0,0.02,0.04,0.04,0.21,0.09,0.18,0.01,0.0,0.12,0.02,0.07,0.05,0.04,0.0,0.0,0.03,0.06,0.07,0.01,0.01,0.02,0.0,0.19,0.06,0.03,0.0,0.0,0.0,0.02,0.0,0.04,0.01,0.01,0.04,0.22,0.0,0.03,0.01
Add-ons - SharePoint Connector,0.42,0.26,0.0,0.13,0.0,0.23,0.1,0.06,0.07,0.0,0.04,0.22,0.01,0.07,0.05,0.32,0.12,0.09,0.06,0.36,0.0,0.05,0.0,0.41,0.0,0.06,0.05,0.0,0.11,0.05,0.35,0.01,0.21,0.04,0.02,0.0,0.21,0.13,0.41,0.15,0.27,0.0,0.18,0.0,0.08,0.12,0.0,0.0,0.03,0.1,0.07,0.06,0.0,0.12,0.0,0.01,0.08,0.02,0.11,0.0,0.1,0.0,0.0,0.23,0.01,0.01,0.01,0.0,0.18,0.06,0.26,0.04,0.0,0.07,0.01,0.01,0.02,0.25,0.12,0.04,0.07,0.02,0.0,0.01,0.0,0.06,0.03,0.02,0.08,0.0,0.27,0.12,0.25,0.02,0.0,0.24,0.1,0.16,0.12,0.13,0.0,0.02,0.02,0.19,0.25,0.0,0.02,0.17,0.02,0.29,0.15,0.03,0.01,0.0,0.01,0.06,0.03,0.24,0.07,0.04,0.03,0.35,0.01,0.04,0.32
Add-ons - Team Calendar,0.24,0.08,0.02,0.1,0.01,0.05,0.04,0.03,0.01,0.0,0.0,0.19,0.01,0.0,0.01,0.06,0.02,0.0,0.02,0.46,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.0,0.05,0.07,0.1,0.01,0.02,0.04,0.08,0.02,0.08,0.05,0.16,0.13,0.02,0.0,0.03,0.0,0.0,0.06,0.0,0.02,0.0,0.05,0.03,0.02,0.01,0.09,0.0,0.0,0.19,0.03,0.02,0.0,0.02,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.03,0.0,0.08,0.05,0.0,0.0,0.01,0.01,0.03,0.06,0.0,0.05,0.06,0.0,0.01,0.0,0.18,0.02,0.0,0.04,0.0,0.22,0.25,0.11,0.16,0.0,0.0,0.05,0.03,0.01,0.03,0.15,0.0,0.01,0.0,0.1,0.16,0.0,0.0,0.04,0.0,0.12,0.01,0.0,0.01,0.02,0.0,0.02,0.1,0.17,0.02,0.01,0.09,0.26,0.0,0.0,0.08
Admin,0.42,0.05,0.01,0.01,0.0,0.01,0.04,0.0,0.0,0.16,0.0,0.18,0.07,0.0,0.01,0.04,0.13,0.0,0.02,0.77,0.25,0.1,0.0,0.22,0.0,0.02,0.09,0.0,0.0,0.05,0.18,0.06,0.01,0.03,0.04,0.09,0.32,0.14,0.02,0.03,0.0,0.0,0.21,0.0,0.01,0.0,0.01,0.02,0.01,0.02,0.05,0.01,0.0,0.32,0.02,0.0,0.44,0.22,0.0,0.0,0.0,0.04,0.01,0.17,0.88,0.01,0.0,0.01,0.01,0.0,0.04,0.0,0.96,0.1,0.01,0.01,0.04,0.34,0.02,0.06,0.0,0.01,0.05,0.09,0.0,0.16,0.01,0.22,0.04,0.0,0.46,0.03,0.14,0.07,0.01,0.04,0.01,0.03,0.02,0.67,0.1,0.02,0.32,0.05,0.17,0.32,0.0,0.1,0.0,0.31,0.01,0.0,0.02,0.04,0.0,0.07,0.02,0.52,0.01,0.0,0.18,0.07,0.0,0.04,0.06
Admin - Device Preview Management,0.38,0.02,0.02,0.18,0.14,0.1,0.05,0.01,0.0,0.04,0.01,0.33,0.07,0.01,0.01,0.02,0.11,0.06,0.16,0.47,0.0,0.06,0.04,0.02,0.06,0.01,0.22,0.03,0.01,0.24,0.07,0.08,0.11,0.1,0.23,0.23,0.28,0.19,0.04,0.36,0.0,0.0,0.36,0.04,0.0,0.0,0.04,0.06,0.01,0.0,0.01,0.17,0.0,0.38,0.0,0.0,0.45,0.06,0.01,0.0,0.16,0.0,0.01,0.09,0.11,0.13,0.0,0.0,0.01,0.05,0.02,0.11,0.01,0.06,0.01,0.07,0.01,0.03,0.0,0.19,0.0,0.01,0.14,0.02,0.03,0.23,0.05,0.04,0.0,0.06,0.45,0.18,0.3,0.02,0.06,0.15,0.23,0.0,0.08,0.42,0.02,0.12,0.1,0.1,0.36,0.06,0.0,0.16,0.08,0.06,0.01,0.0,0.16,0.36,0.02,0.13,0.28,0.26,0.0,0.0,0.12,0.33,0.0,0.0,0.21
Admin - Event Viewer,0.24,0.01,0.0,0.05,0.02,0.05,0.01,0.0,0.0,0.0,0.0,0.21,0.01,0.0,0.0,0.1,0.04,0.0,0.06,0.36,0.0,0.07,0.0,0.06,0.0,0.01,0.53,0.0,0.01,0.07,0.12,0.02,0.02,0.0,0.18,0.07,0.13,0.72,0.07,0.07,0.0,0.0,0.28,0.01,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.29,0.05,0.01,0.0,0.03,0.0,0.0,0.09,0.01,0.01,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.01,0.01,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.02,0.09,0.14,0.01,0.01,0.01,0.11,0.21,0.05,0.05,0.0,0.0,0.08,0.05,0.0,0.04,0.25,0.0,0.02,0.01,0.02,0.19,0.01,0.0,0.12,0.0,0.1,0.01,0.0,0.05,0.06,0.0,0.03,0.07,0.15,0.05,0.0,0.02,0.08,0.0,0.0,0.15
