ID,Description,Type,Component_Names
69958,"""As a <USER>  I want to enter org-wide days off only once, and share them across all teams,  So that I do not have to enter the same set on each Agile Board.    AC:  A. In a central config, enter Standard Working Days once org-wide.  B. In a central config, enter Non-Working Days once org-wide.  C. On any Agile Board, optionally include org-wide Standard Working Days.  D. On any Agile Board, optionally include org-wide Non-Working Days.  E. On any Agile Board, optionally include extra or override one-off Standard Working Days (per current feature).  F. On any Agile Board, optionally include extra or override one-off Non-Working Days (per current feature).    -Johnny""",Suggestion,"Board configuration,AgileBoard"
69998,"""I am using an Agile Board which is used to display several projects. I have one quick filter set for each of these projects.  So, when I use a quick filter to see only the User Stories of only one of the projects, I still see all Epics of all projects. As an Epic is only a task part of a project, I would be expecting that the Epics would be filtered as well.    The result is that I end up with a very long list of Epics and I have no way to filter them out.""",Suggestion,AgileBoard
70001,"""As a Program Manager I would like to have access to a basic Agile Board Report that displays a table of information on the no. of open tasks per person per sprint along with the total task hrs for the tasks of that assignee.    This request has come up from tens of people within my organisation and is crippling our ability to have quick access to this information without having to perform an extract of information from a sprint to excel where the data is transformed and then placed on a wiki for the team to view it.    Table Column headers required;  i-Assignee  ii-Total Task Count  (for that assignee)  iii-Original Estimate (hrs)   (for all tasks assigned to that assignee)  iv-Time Spent (hrs)   (for all tasks assigned to that assignee)  v-Remaining Estimate (hrs)   (for all tasks assigned to that assignee)  vi-Remaining Days in Sprint  vii-Original Assignee Capacity to the Sprint  vii-% Assignee Capacity Remaining    The first 5 pieces of information comes directly from <USER>but the last 3 are outside of <USER>  In an ideal world I would like to define all 8 pieces of information in <USER>but if the first 5 could be available I would be a great start.    """,Suggestion,AgileBoard
70079,"""As a PM I would like to be able to also (in addition to Version and Epic) to be able to filter backlog (planning view) by issue components.""",Suggestion,AgileBoard
70087,"""I'm a big fan of your keyboard shortcuts, they make live easier and working with the board faster. (y)    So:  Suppose that I have two Quick Filters: """"A"""" and """"B"""".  """"A"""" is turned ON and """"B"""" is turned OFF.    I now want to switch to """"B"""".    Instead of turning """"A"""" OFF *and* turning """"B"""" ON by myself.... :(    ... I just can (_for example_) {{Shift}}-click """"B"""" (pressing {{Shift}} while clicking) and as a result """"A"""" is automatically turned OFF (of course by that I mean automatically turning all Quick Filters OFF that were turned ON before my interaction).  :) :) :) :) :) :) :) :)""",Suggestion,AgileBoard
70160,"""This may relate to GHS-3922 although it's not clear.  Is there any future plan to allow multiple avatars to show on a single card?  Either via multiple assignees or by flagging another field as a trigger to display an avatar?      I'm not looking for a definite delivery date, just an understanding if this is on the roadmap.  This is something my company would love to see for pair programming and shared testing support between our QEs and SWEs""",Suggestion,AgileBoard
70221,"""As a sprint master I would like to have the possibilty to use epics as a predefined swinlane fllter on a Kanban Board type. This possibilty allows me to track epics through phases outside of the sprints.""",Suggestion,Board configuration
70231,"""As a  scrum master I want to be able to have full control over the order in which fields are displayed in the RapidBoards """"Issue Detail View"""" so that we can surface information on an order that is more relevant to our team, not the way determined by Atlassian.    In this context, we have a custom field called BDD scenarios and we'd like to display this BENEATH the description field, but there is no way of moving these around. This is one example obviously. Ideally we'd actually want all of this information to be displayed in the order we want and way above the General Fields information, for us that isn't as relevant as the Description and BDD scenarios but we they are useful enough to have them available in this view.""",Suggestion,AgileBoard
70242,"""As a scrum master, I want to understand why we have such a high scope change rate. It's difficult to get a handle on the reasons for scope change, just looking at either the sprint or the burndown reports. There's no way to filter or sort those tables, and """"scope change"""" data isn't available in Jira's reporting, as far as I can tell. """,Suggestion,AgileBoard
70297,"""Customer would like to request on the following:    {quote}  """"As a user of JIRA Agile, I would like to be able to rank epics and stories.  Given two epics A and B where A is more important to finish first due to business priority than B, I expect epic A and ALL stories contained within epic A to have higher priority/ranking than epic B and all its stories. It seems that the current version of JIRA Agile does not support this since ranking of stories is left untouched when dragging epics up and down in the Plan view.  Also when creating filters I want to group stories within their epics sorted in priority order. Thus, I would like stories grouped by epic, then sorted on epic rank and within each epic, on story rank.""""  {quote}""",Suggestion,AgileBoard
70298,"""As a user of JIRA Agile I have completed a sprint, the completion process informed me that incomplete issue would be moved to the top of the backlog. However the issue shows as being part of a completed sprint and is not visible to other boards. The only workaround is to create anew issue.    I would like the ability to remove such issues from a completed sprint.""",Suggestion,AgileBoard
70340,"""As a board user, you currently can filter on (active) sprints, and on quick filters (pre-defined by the board-owner/manager).  I would like to be able to filter on the Epics of the board, on the Versions used in the board (Fix Versions field of issues), and on the Users (assignees) used in any catrd on the board.  These filters should always be there (for example in the menu where currently you already can expand or collapse swimlanes).  I know some of these filters things could also be 'done' by using swimlanes, but our users find swimlanes very uncomfortable.  T know these filters could be implemented in Quick Filters, but then they are not dynamic: we have to adapt them all the time new Epics, Versions or Users are used. """,Suggestion,"Board configuration,AgileBoard"
70350,"""Version 6.3 uses certain CSS classes which have the same name as classes in jQueryUI. There's no problem until there's a plugin (in our case, Structure), which use jQueryUI and integration with GreenHopper.     The integration requires us to include certain web resources on the Agile board page, including jQueryUI. This results in unexpected greying out of the whole Sprint sections, which was immediately noticed by the customers and reported as a bug --- see attached screenshot.    To reproduce:   1. Install the latest version of GreenHopper and Structure  2. Create a Scrum board, and a Sprint on it    Since iQueryUI is a pretty standard library which can be used by other plugins as well, I would suggest namespacing JIRA Agile CSS in some way to avoid the collision.    Thanks!  Igor""",Bug,AgileBoard
70352,"""Boards with swimlanes are sometimes hard to read. As a board user, I would like to have an option to activate or de-activate swimlanes (like the option in the menu to expand or collapse all swimlanes).""",Suggestion,"Board configuration,AgileBoard"
70360,"""As a scrum master, I'd like to be able to group tickets by project in work mode.    We run many concurrent projects from the same board. Currently we use epics for projects, but there are some significant disadvantages to that since the rest of <USER> plug-ins, etc. don't really know anything about epics, but they do know about projects & versions.    (Really, I'd like to be able to create swimlanes by pretty much ANY field, and I'd like to be able to dynamically change them on the fly without going into """"configure"""", but that seems like a significantly larger ask.)    {{original Suggestion included by Version but this is now tracked in GHS-5720}}  """,Suggestion,AgileBoard
70381,"""As a user I would like to be able to enter the start and end date of a sprint manually rather than being forced to use the datepicker.    When starting a new sprint or amending the start/end date of a running sprint I always have to select the date and time by clicking in the date selector popup. For the date itself this is not much of a problem, but for the time component this is a real pain as it can mean heaps of clicks to get the minutes and hours right. Instead of clicking so many times I prefer to simply enter date time.""",Suggestion,AgileBoard
70406,"""As a Project Manager I need to see the Remaining Estimation directly in the Plan Mode of my Scrum Board.    Currently there is only the original estimation. I would like to see the remaining estimation directly beside the original estimation (directly beside the 2d / 5h in the attached screenshot).    Of course I know that I can see the remaining estimation of each story if I click on a story. As well do I know that the remaining estimations of all stories within a sprint are cumulated.    I would really love to see this feature in further versions - as well would the customers of //SEIBERT/MEDIA love to see this feature.""",Suggestion,AgileBoard
70407,"""As a Project Manager I need to change the sequence of my planned Sprints in the Plan-Mode of the Scrum Board.    This is really important for me because I wish to create sprints in the far future and break them down to smaller planned sprints when time goes on.    i.e:  * Sprint KW1-KW2 2014  * Sprint KW3-KW4 2014  * Sprint February 2014  * Sprint March 2014  * Sprint Quartal 2 2014  * Sprint Quartal 3 2014  * Sprint Quartal 4 2014    Many of the customers of //SEIBERT/MEDIA wish to have this feature in order to be able to plan the tasks continuously - as a rolling plan. I would love to have this feature as well. I really hope that you are going to implement it in the near future because it allows project manager to use the agile board even for the more """"classic"""" project management which still many of our customers love. ;-) Even for the Agile Planning this feature would bring a lot of advantages.    Please don't hesitate to contact me for any questions. I would really love to see this feature!     Cheers  <USER>",Suggestion,AgileBoard
70431,"""I as a Product Owner or <USER>want to see a report generated by Greenhopper/JIRA Agile which shows the projected completion for the current backlog items so that I can better understand what the overall project status is today.      Further thoughts:  - able to select which epics to include as """"total backlog""""  - calculation based on story points  - configurable average velocity (how many or which past sprints to consider for average)  - utilize average velocity to calculate projected completion  - show how many sprints until completed  - show optimistic and pessimistic line  - configurable optimistic and pessimistic calculation (percentage)      I'm doing this today in Excel based on data I'm extracting out of JIRA.  This is the most important chart for our project and helps everybody involved to better understand where we at and take actions early to influence the project for the better.    Attaching an image of the chart I'm creating in Excel at the moment.""",Suggestion,AgileBoard
70451,"""I find that one of the most useful tools for our software development team is the Version Report chart.  Since the addition of this one chart, we're able to much more accurately forecast the completion of a release and extremely accurately communicate the effect of scope creep on our completion date.  We have been able to determine when it's necessary to add resources to a project and communicate to upper management exactly why they need to make a priority decision on all open projects due to release schedules.    However, in order to do this, we currently create our own trend lines with a sheet of paper held up to the monitor or projector.  I've attached a screenshot that explains why this is necessary.    First off, being able to annotate this graph as I've done in this screenshot would prove invaluable for project status reports as well as """"lessons learned"""" post-project analysis.  I'm thinking GreenHopper stores as many points on the graph as is requested as well as an annotation for each.  These points are stored per version tracked in GreenHopper.    I feel like the """"project start"""" date should show the entire progression (graph) of a project.  However, there needs to be an option for a progression line start date separate from the project start date, as the June re-specification and reallocation of developers to the project requires a new velocity trend line.  I already did this in March, and have been considering doing it again, but if I do this, the new graph loses the historical nature as annotated in the screenshot.    Another cool idea is a """"scope creep trend line"""".  I just noticed today that even back all the way until early mid-april, our scope creep has been extremely linear.  This, combined with current (recent) velocity could possibly create a """"true"""" completion date where the two lines I drew intersect?    One thing I didn't show on the graph was the ability to speculate on an increased velocity over your current velocity.  This could have been used after the spec redesign in late June and the addition of more developers to the project.  I'm thinking a box on the right that says """"Speculate an additional X story points per week"""".  This would cause the velocity trend line slope to increase starting today, causing an upward kink in the velocity trend line with an adjusted final completion date.    I know this is a huge request, but I feel like this adds a significant amount of benefit to an already great feature.  These new features will hugely help us when communicating outside our group and committing to release dates.""",Suggestion,AgileBoard
70459,"""As an admin user     I would like the ability to restrict the """"Remove from Sprint"""" option to specific groups / roles    So that I can ensure the Product Owner is the only group / role that can remove issues from a sprint""",Suggestion,Board configuration
70471,"""As a <USER>and/or PM I want to be able to get easy access to filtering the Board backlog (Plan view) to fast and easily being able to drill down the options.    Possible alternative solutions:  - Being able to mark some quick filters as """"Planning filters"""" which does not make sense on the Work view  - Get access to doing custom filtering like JIRA's search view within the Plan view      Personally I would prefer second option as the needs for filtering always change depending on context and adding Quick filters in the middle of planning is not efficient. """,Suggestion,AgileBoard
70478,"""As a scrum master or engineering manager, I would like to understand what portion of my team's velocity is new features versus other types of estimated work.   --------    In our company, like many, we have not settled the debate on whether to estimate bugs with story points.  There are good reasons for both approaches and I'll leave it at that.    For the teams who choose to estimate bugs, it would be of great benefit to be able to configure the velocity chart to exclude bugs and other estimated issue types besides business stories in the computation of velocity.      Better yet, the fraction of a team's time devoted to bugs is a valuable metric, and a stacked bar chart showing the component issue types of any given sprint velocity would be incredibly valuable.""",Suggestion,AgileBoard
70511,"""The Kanban board has a link called release. Clicking this will take all items in the done column and assign a fixVersion and remove them off the Kanban board. It would help if you could select items for a release. This could be achieved by using checkboxes to select the items to release and thus as a Release Manager I can select which items I would like to include in a particular release.    There should also be a select all check box that I can select all items.""",Suggestion,AgileBoard
70538,"""As a manager, I only want issues entered against a version that will actually ship. However, some teams want to have intermediate milestones within a release (such as a sprint or drop) and use that on their Agile boards. I want some ability to define a milestone and use it in addition to the version (like the hierarchy of versions that was available in the Classic board, but not an actual version that would show up in the Version drop down).""",Suggestion,AgileBoard
70594,"""As a user, I would like to be able to Favorite boards. I envision this behavior being similar to favoriting Dashboards in JIRA.""",Suggestion,AgileBoard
70618,"""As a project administrator or board owner I need to be able to be able to add/remove Statused by using the """"Add Status"""" button from the board Configuration window.    Currently this button does appear only for <USER>administrators.""",Bug,AgileBoard
70727,"""As a project administrator and agile board owner, I want to force developers to choose a specific resolution value from a defined set upon entering a specified ticket status so that we don't forget to set the proper resolution so we may query tickets for duplicates, fixes, won't fixes, etc.    The team is using the GreenHopper simplified workflow for Jira ticket status.  It would be nice if between status changes from """"In Progress"""" to """"Ready"""" a pop-up appeared that allowed the developer to modify the Resolution from """"Incomplete"""" or """"Unresolved"""" to """"Fixed"""", """"Won't Fix"""", """"Duplicate"""", etc.  Right now, the workaround is to create a subscription to a filter that warns us when tickets are in the """"Ready"""" or """"Done"""" status, but have """"Unresolved"""" or """"Incomplete"""" as their resolution field value.""",Suggestion,AgileBoard
70741,"""As a user  I want to be able to abandon epics rather than marking them as done  so I can better differentiate work that was actually done, rather than just ideas.      Currently I have the ability to mark an epic as """"Won't Fix"""" through the JIRA ticket status, but there is no GH equivalent. I think it's important to be able to differentiate between stuff that was *really* done, and stuff that was abandoned as a nice idea.""",Suggestion,AgileBoard
70748,"""As a scrum master, I'd like to be able to mark issues that have been added after the sprint starts as part of the original scope. Very often, there are a few straggler tickets that come in shortly after I've clicked """"Start Sprint"""". Ideally there would be a way to have those not be marked as scope change. They really aren't and having them marked as such reduces the value of both the burn down chart and that marking in other places.""",Suggestion,AgileBoard
70761,"""As a product owner, I want to use the epic gadgets in a confluence page summary or <USER>dashboard summary to communicate the epic's overall status.     This helps to fulfill a need of showing overall status of a product roadmap and portfolio. """,Suggestion,Gadget
70764,"""As a scrum master, I need to be able to easily see how much work is assigned to each developer (or group of developers) in planning mode so that the team members can evaluate whether they have a reasonable amount or not.""",Suggestion,AgileBoard
71034,"""Using the Agile Board as a Scrum Project it will always show all the Epics of the whole project. The filter applied for Component or Version do not filter the Epics Issues.     But on the Classic Board, the Epics are filtered correctly.    I need to filter the Backlog on the Board showing only Epics from a specific version or component.""",Suggestion,AgileBoard
71035,"""We observed this behavior today for several developers in our production system and I was able to reproduce it in the staging system as well as for the latest JIRA + GH.     h3.Steps to reproduce:  # Prepare a SCRUM board for project 'DEMO'  # Create a new sprint and start it  # Remove 'Schedule Issues' permission for 'Developer' from permission scheme  # Login as a sample user with 'Developer' role for project DEMO  # Drag any issue from the backlog into the active sprint    h3.Outcome:    *Setup #1 (JIRA 5.1.5, GH 6.1.3.1)*  # Green box saying the issue has been added to the active sprint  # Red box saying permissions for ranking are missing  # Issue disappears from the backlog and after a refresh (F5) either:  #* appears in the active sprint  #* {color:red}still appears in the backlog <- In this case, opening the issue in the JIRA issue view, the Agile tab shows it in the active sprint (!!!){color}  # {color:red}The burndown does not show the scope change (\!){color}    *Setup #2 (JIRA 5.2.10, GH 6.2)*  # Green box saying the issue has been added to the active sprint  # Red box saying permissions for ranking are missing  # Issue disappears from the backlog but appears in the active sprint after a refresh (F5)    *Expectations:*  - I would expect that a regular developer cannot add an issue to a sprint since this is actually a way more severe operation that ranking it.  - The issue should not disappear from the backlog / sprint even if an error message is thrown  - The reporting seems to miss the scope change in some cases (I am still trying to reproduce this on GH 6.2 - I might upgrade our staging system using a copy of the production data)""",Bug,AgileBoard
71112,"""As a scrum master, I would like to be able to edit fields directly from the 'detail view' of the 'Plan' or 'Work' screens.    My team doesn't use a numeric system to score tasks, so I have a custom drop-down field with the possible options. This has a lot of downstream usability effects (I'll drop another feature request with some suggestions for that particular bee's nest), but the biggest pain-point we're having right now is that we have to open each issue individually to score it during sprint planning. I see that a few of the fields are editable now, but it would be awesome if we could allow or disallow editing on all of the fields instead of having a few hard-coded. """,Suggestion,AgileBoard
71179,"""As a user I'd like to have a quick filter for filtering issues by state: not started, in progress, done. It would be great to use the red, yellow, green labels in the top of the sprint: click on one of them for filtering, click again for removing the filter again. The labels should be buttons.""",Suggestion,AgileBoard
71180,"""As a greenhopper user in the agile board in plan mode I'd like to be able to filter or sort all issues by issue type. I know there is a search field but it doesn't work that smart as I expected. """,Suggestion,AgileBoard
71186,"""As a greenhopper administrator I would like to be able to configure which fields are displayed on the cards on the kanban rapid board, so that relevant information is visible without clicking on the tasks.     Specifically I would like to see the time tracking fields (original estimate, remaining estimate, etc). These are also impossible to add to the detail view on the rapid board. I would like to be able to add them there as well. """,Suggestion,AgileBoard
71190,"""For some reason """"Sample Sprint 2"""" has a nice green border when you go to drop an issue in there, but the """"Sample Sprint 3"""" doesn't get any sort of drop area queue, so it doesn't look like your action is going to succeed.  I'm not actually sure why one gets a drop area hint but the other one doesn't - it makes no sense at all.""",Bug,AgileBoard
71238,"""As a person who creates agile boards, I want a way to provide a description on the board to other viewers so they know what my intended purpose for the board is and they have access to any information I feel is relevant for them with regard to the board.""",Suggestion,AgileBoard
71244,"""Scenario:  Product Owner and team plan using story points, stories on the sprint are then broken into sub-tasks and completed over the sprint.    As a user   I want to see a burndown by issue count when estimating using Story Points  So that I can avoid having to use time tracking, and have a clearer picture of what my sprint is completing      I would anticipate that the current configuration view for the Estimation tab would allow;     Estimation Statistic: Story Points   Time Tracking: Issue Count      Note: """"Issue count"""" means anything that has a JIRA ID and specifically doesn't exclude child types like sub-task.""",Suggestion,AgileBoard
71246,"""As a product owner  I want to gauge how stale a point estimate is on a story  so I know if the team may need to revisit an old story on the backlog to keep it fresh      h3. Acceptance     * Can I specify time thresholds to indicate age brackets where a story point estimate is, for instance, """"fresh"""", """"stale"""", """"rotten""""    * Am I shown that a story point is stale within the Planning board?   * Am I shown that a story point is stale within a ticket view?   * Am I shown that a story point is stale when exporting tickets from JIRA?   * Does the age of the story point get updated when the value is changed?   * Can I """"freshen"""" an existing estimate, without changing its value, to indicate it continues to be correct?  """,Suggestion,AgileBoard
71330,"""As a project admin I would like to be able to """"split"""" an existing sprint on the planning board into multiple sprints to save time and effort when rescheduling lots of tickets.  Or in other words: I would like to be able to insert a new sprint in between two existing (planned) sprints.    At the moment we have quite a few sprints already planned for the future (sometimes > 10), but they are constantly refined up until the moment when we start the actual sprint. This leads to situations where we need to do some major re-prioritization or reshuffling of tickets.  Right now we can only manually achieve this by adding a new sprint at the end of the planning board, dragging all items from the previously last sprint to the newly created sprint, and then move the tickets from prior sprints one sprint down respectively. Also we need to manually update the names of all previously scheduled sprints accordingly.  In order to save time it would be great if we could automate this task by inserting new sprints in the middle or splitting existing sprints.""",Suggestion,AgileBoard
71335,"""As a scrum master i would like to see on the burndown chart the number of hours that the team is ahead or behind schedule in a sprint. A """"hours from guideline"""" would be nice. Could be in the mouse over event.""",Suggestion,AgileBoard
71508,"""Currently, there is no way to export, print the existing """"Backlog"""" of issues in a Scrum Board from within GreenHopper not committed to a sprint.  I would like the ability to export, and/or print the current ranked backlog in GreenHopper for multi-product owner review and ranking reconciliation (more than one product owner means they all can't move backlog items around with cancelling out their own moves part of the time).  I can envision a scenario where a drop down menu appears next to the word backlog, from which a user could select """"Export to Excel"""" (with existing ranking intact), or """"Export as a PDF"""" (with ranking intact), or even possibly """"Export as HTML"""" (once again, with ranking intact).""",Suggestion,AgileBoard
71633,"""As a scrum team member I want the priority of my stories to be reflected on the sprint board. The same way they are prioritized on the plan board.""",Suggestion,AgileBoard
71688,"""As a rapidboard user, I want to have different colors for the standard deviations. Especially on an projection screen, the current blue shades are not easily distinguishable.""",Suggestion,AgileBoard
71809,"""{{As an admin I'd like to set the default value for the Estimation field on new Greenhopper boards}}    As an admin I'd like to be able to set 'Original Estimate' (for example) as the default value for the Estimation to be used on every board created.    Currently the Estimation always use 'Story points' and we need to change the Estimation manually for each board created.    It would save a lot of time if that could be set as a default value on Greenhopper configuration so newly created boards are already with the desired value.""",Suggestion,AgileBoard
71941,"""As a scrum master I would like to be able to create a fixed set of subtasks that I can upload for a certain story, so that I can speed up the process of populating the scrum board when starting a sprint.""",Suggestion,AgileBoard
71959,"""As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping""",Suggestion,Board configuration
71968,"""As a team lead, I would like to enter the total team capacity for a sprint (the number of hours they have in total to work during the course of the sprint) and then see a line on the burndown that shows REMAINING TEAM CAPACITY based on total original time minus time logged on issues.    It's great that I can see the how much WORK is left, but I need to be able to compare it to how much TIME the team still has available to them.""",Suggestion,AgileBoard
72022,"""As a Kanban rapid board user, I would like to have the same approach offered by Scrum rapid board - plan view.  Basically, it would be great to be presnted with the same view as plan for scrum (epics on left, backlog center and detail on left) but without sprint/create sprint and so on, maybe replaced with a facility to move to """"in progress"""" status topmost backlog issues as we can do when we create a sprint in scrum mode.  """,Suggestion,AgileBoard
72192,"""As a techie user, I want to be able to quickly move issues to the top of my piles (sprint or backlog) or to quickly force rank across the entire pile with as few mouse clicks and drags as possible (I'm a developer - I hate mice!).""",Suggestion,AgileBoard
72281,"""As a JIRA Admin, I want to be able to use some custom status field as a base for columns separation. The system status field is used for all development tickets (Open, In Progress, In QA, Complete, etc).    Meanwhile, Epics have an additional set of statuses as they represent a Release (Piepelined, Approved, In Ideation, In Execution, Under Review, Closed). So I would like to be able to create a Release Board with columns based on those custom statuses.""",Suggestion,Board configuration
72390,"""1) One existing issue A with subtask(s) attached to ongoing Sprint backlog  2) Create new issue B  3) Add issue B to ongoing Sprint backlog  4) Change parent of subtask(s) with estimates from A to B  5) Burndown chart acts as if that was a scope change    I would think, that subtasks already assigned to the Sprint wouldn't change the scope? """,Bug,AgileBoard
72410,"""For agile boards, there exists a report mode. In this report mode I can see my open and my last finished sprint report. However, this is not enough.    As a product manager I need to be able to access and see more sprint reports, i.e. all for my current release.     It would be nice if I could configure how many old reports I'd like to see there or how many sprints back or how many sprints back based on a date/time difference from today in the past.    I then want to see those old sprint reports in the combobox, select and display them.      """,Suggestion,AgileBoard
72431,"""As a <USER>I want to automatically create a link between an issue and an Epic when I associate the issue to the Epic in order to have a stronger traceability.""",Suggestion,AgileBoard
72612,"""Have created Sprint but now I have no permission to do manage sprints:    # I've created one Board using only Project A (that I'm admin),  # I've created one """"Sprint 1"""" and put some issues inside,  # Then... I've changed the filter to include Project B (that I'm not admin),  # I put some more issues inside """"Sprint 1"""", from Project B,  # I want to manage Sprint (create more, complete, change dates) => No permission,  # So, once again I change permissions to include only Project A,  # I want to manage Sprint (create more, complete, change dates) => No permission.    Now I have created a Board and a """"Sprint 1"""" and can't do anything, so:    # I deleted the board,  # I've create a new board,  # The """"Sprint 1"""" was already there, and again, I can't change it.    I'm managing the work of a specialized team across different projects that I'm not administrator. For me, the administration permission requirement doesn't make any sense.""",Bug,AgileBoard
72715,"""As a <USER>I would like to have cumulative remaining hours on Rapid Board Work Mode, just like Classic Task Board.  This will be really helpful for a <USER>to determine how much each of team member is committed for the Sprint.    See attached screenshots for a better understanding:    !Classic Task Board.png|thumbnail!    Has the cumulative remaining hours per assignee as you can set on filters;    !Plan Mode - Rapid Board.png|thumbnail!    Has the cumulative remaining hours, but it is based on the Sprint and doesn't change if selected a Quick Filter;    !Work Mode - Rapid Board.png|thumbnail!    You can count manually but this would be a hard work if you have loads of issues per user.""",Suggestion,AgileBoard
72717,"""The scrum board has an instant filter in the plan mode, where you can just start typing reduce the amount of issues displayed. I would like to have this functionality available in the work mode as well, so it can also be used for kanban boards.""",Suggestion,AgileBoard
72768,"""As an administrator I'd like to configure the count of menu items displaying the recent boards in the Agile menu.    Reason: We are all using 5-10 boards all the time, however, just some of them are displayed in the Agile menu as menu items in section """"Recent Boards"""". In GH 6.0.0 it was easier to navigate to other boards with the combo box that popped up when I clicked on the board name. This disappeared in GH 6.0.3.    """,Suggestion,"Board configuration,AgileBoard"
72798,"""{{As an agile board user, I would like to export the reports into a common format to show my product owner, who doesn't have access to my JIRA, so that he/she can see the sprint progress.}}         It would be extremely useful to be able to export the many great JIRA Software reports into at least one common format (e.g. PDF, excel, etc.). Our project's product owner is not local to us at all and cannot access out JIRA instance on our closed network. The only means we have of doing this currently is via a browser """"Print or """"Print Screen"""". Both of these solutions require major browser window formatting in order to work and have it appear barely readable.""",Suggestion,AgileBoard
72911,"""As a team-member or product owner  I want to see issues in the ongoing sprint ordered according to priority  so that I know what issue to fix next.    When I view the current sprint in my """"Work-tab"""" (rapidBoard.jspa?...view=detail) I want to view all my items ordered with highest priority on top. This is true for issues without subtasks. If however, I have subtasks among the issues, those issues together with the subtasks are displayed on top. I cannot figure out their priority in relation to the other issues.  """,Suggestion,AgileBoard
72929,"""As a scrum master, I would like to restrict users who can add/remove a ticket from the sprint. Have a separate permission to enable/disable users who can change the rank of an issue.""",Suggestion,AgileBoard
73051,"""Several Scrum teams work according to the same sprint periods. All teams contribute to the same sprint results and finally the same release. So, Sprint definition wrt. name needs to be consistent across the teams. As an administrator I would like to define the sprint names centrally so that the individual team Product Owner can choose from the names of unreleased Sprints when going from Planning to Work Mode.""",Suggestion,AgileBoard
73086,"""So that I can do any filter I want on the Rapid Board/KanBan Board/Scrum Board,     As a user, I want to be able to type any JQL into a text box to filter the board issues on-the-fly,    Without being restricted to Quick Filters defined by the administrator.""",Suggestion,AgileBoard
73174,"""Original summary: {{As a Supporter, I would like to be able to sort attachments by Date Uploaded in Rapid View}}    When using GH as a Kanban board for support, I want to be able to sort attachments in Detail view so I can quickly identify the most recent attachments for the end user""",Suggestion,AgileBoard
73253,"""As a user i want to be able to group the many quick filters i have so that i can get a better overview instead of the rapid board wraps the quick filters and they end up taking many lines.""",Suggestion,AgileBoard
73282,"""{{As a ScrumMaster, I'd like to have BurnUp Charts available on the Rapid Board}}    When determining team velocity, I'd like to view statistics as a burn up chart, instead of a burndown chart.""",Suggestion,AgileBoard
73307,"""As a user I want to create Rapid Board columns that do not map to an existing workflow status. E.g. to get a story approved by product design.    I believe this should be possible by tracking the virtual status in another hidden custom field similar to the Sprint field.""",Suggestion,AgileBoard
73410,"""Given that we already force-rank stories in a Backlog.  And we estimate story points.  We should be able to provide a per-sprint, story point """"Velocity"""" and have GreenHopper automatically plan sprints with tickets by walking down the backlog.    As changes are made to the backlog, these sprints should be re-planned automatically, rather than requiring manual effort to move stories in and out of sprints.    To get an idea how this should work, look at Pivotal Tracker.  While their tool has a long way to go for Enterprise use, they've done a good job of making backlogs and sprints almost manage themselves.  The contents of sprints will change many times to adapt to changing requirements and circumstances, as reflected in a well-maintained backlog.      With all GH's additional data and configurability, GH could automate sprint planning even better than Pivotal Tracker does, reducing the effort required to just maintaining a solid backlog.    Further, once there has been some progress down a backlog, it is possible for GreenHopper to calculate our velocity empirically, replacing our manual """"default"""" velocity with a more justifiable, data-driven number.    I had to write a Jira plugin to provide us with Velocity, Iteration Views, and Release prediction, but I'm not asking for any of that for now.  It just seems silly to have to manually drag stories around to """"create"""" sprints.      Sprints will occur in reality, whether we construct them in GreenHopper or not.  Let's make it so those sprints are both planned and tracked automatically, just by having a backlog and burning it down.  :)  """,Suggestion,AgileBoard
73489,"""1. Open a rapid board, planning view  2. Click on any item in the list of items  3. The """"pre-view"""" of the cliecked item is displayed to the right, but it's not possible to configure what fields to include in this display.    As we have some really important infromation in custom fields (e.g. the actual """"user story"""" text 'As a Player I want to...'), we currently need to open all issues in new tabs anyway during planning - it's sufficient to only use the rapid board planning view.""",Suggestion,AgileBoard
73546,"""Was {{As a user, I would like compact cards on the Rapid Board}} but broadening to cover requests for larger cards too.  ---  As a user, I cannot fit all our Rapid Board cards on my oversized screen.  Moreover, my colleagues dislike scrolling with a passion!  Please may I request compact cards for the Rapid Board.  It's the only feature that's preventing our development teams from switching from the Task Board.""",Suggestion,AgileBoard
