Skills,"As a user, I'd like to be able to select custom fields of type Date Picker in the Two Dimensional Filter Statistics gadget, X and Y axis.         Currently this is not available.",As a user I would like to have the ability to start a thread on a Jira that is being worked on by several several users so as to avoid lengthy comment strings that are not relevant to all users.,As a user I want to click column names to sort them because it's a familiar paradigm to me and so I don't have to type in the query bar to sort the field.,"As a JIRA Administrators, I'd like to be able to set the timeout for the rapid boards. Sometimes users are in remote locations where it's excepted that the load times will be very high.",As a new developer I want to restore a dump to my local machine so I can set up a new development environment.,"As a Jira administrator, I would like to customize the image that is displayed when we select the Unassigned/Automatic option for user fields.         !abc.png!","As a developer, I'd like to add a mongodb source using an xml and a property file supporting mixing in of parameters so that I can use this module to ingest data from Mongo.","As a developer, I need a Python SDK, so I develop application with NodeJS to interact with blockchain.",As a theme designer I want a fast change test iterate loop in order to dev things quickly,"As a user of Maven and REST, I would like the ability to create and update a group repository via the API.","As an administrator, I want to be able to determine app login by granting this as a global permission for certain groups and/or users.",As a Product Owner   I would like a hotkey for the Backlog Search in Agile Plan mode  So that I can search for stories with less switching between a keyboard and mouse.,"As a user, I want to be able to configure the default expression language for my project so that I can use Weave as my expression language.","As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping",As a Compass user I would like to export and import my favorite list so that other users may access the same hosts without having to type anything,As a developer I want to copy data from production or staging to my local development environment so I can debug an application issue.,"As an application developer, I want documentation for upgrade flows","As a user, I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.",As a developer I want to copy a document to clipboard as json so I can share the document with other members on my team and/or compare it with the output from my application.,As a developer I want to debug my Alloy projects using the Studio debugger,"As a Jira Software Administrator, I would like to be able to create and use a schema for Issue Detail View in Agile boards.    It would facilitate the standardization of board configuration.","As a customer, I would like to have the possibility of configuring the calendar on the Log Work Screen. As an example, hide week number information.","As an admin , I would like to have the ability to remove the tab Discover option from the Switch to tab. Please refer attachment. We do not want to see More atlassian products under this Discover tab.","As a user of REST, I would like the capability to administrate my Raw repositories.  This ticket implements PUT and POST endpoints.",As a user I would like an action to be able to delete a specific worklog (from a specifc author at a specific date) in Automation for JIRA.     Today I can only add a worklog.
Blockchain security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budgeting,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Build Automation,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSS,0.31,0.01,0.28,0.0,0.01,0.11,0.01,0.0,0.07,0.0,0.02,0.01,0.1,0.01,0.21,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.27,0.0,0.01
Cassandra,0.08,0.01,0.16,0.02,0.06,0.01,0.01,0.01,0.02,0.01,0.03,0.04,0.0,0.01,0.03,0.04,0.03,0.01,0.02,0.0,0.01,0.02,0.09,0.01,0.03
Cloud Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Cloud Native Application Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoAP,0.15,0.04,0.42,0.07,0.47,0.07,0.19,0.05,0.39,0.38,0.32,0.54,0.05,0.09,0.56,0.55,0.48,0.12,0.12,0.05,0.34,0.07,0.42,0.09,0.03
Computer Vision,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Continuous Integration/Continuous Deployment,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Cross Browser Compatibility,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryptocurrency development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Cryptography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Data Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Manipulation,0.96,0.02,0.99,0.0,0.03,0.04,0.95,0.01,0.01,0.77,0.01,0.03,0.01,0.0,0.99,0.81,0.0,0.95,0.5,0.0,0.01,0.85,0.03,0.79,0.05
Data Manipulation and Cleaning,0.01,0.0,0.04,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Data Mining,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Modeling,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Visualization,0.54,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Warehousing,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DevOps,0.0,0.02,0.0,0.02,0.94,0.0,0.0,0.01,0.72,0.04,0.01,0.01,0.01,0.12,0.07,0.61,0.05,0.01,0.0,0.0,0.01,0.02,0.03,0.01,0.01
Disaster Recovery Planning,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Django,0.09,0.0,0.08,0.0,0.01,0.0,0.02,0.07,0.05,0.01,0.04,0.01,0.01,0.01,0.02,0.05,0.01,0.01,0.04,0.0,0.01,0.01,0.02,0.01,0.01
Docker,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ETL,0.09,0.01,0.04,0.01,0.22,0.01,0.88,0.0,0.02,0.01,0.16,0.14,0.01,0.01,0.51,0.91,0.01,0.42,0.03,0.01,0.01,0.05,0.23,0.01,0.02
Embedded Systems,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethical Hacking,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Firewall Configuration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flask,0.01,0.0,0.02,0.01,0.03,0.0,0.01,0.11,0.01,0.0,0.03,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.02,0.01
Flutter,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0
GCP,0.25,0.01,0.18,0.03,0.15,0.02,0.01,0.01,0.41,0.01,0.3,0.42,0.02,0.4,0.34,0.07,0.02,0.02,0.02,0.02,0.01,0.07,0.29,0.01,0.01
Git,0.01,0.0,0.01,0.01,0.03,0.01,0.0,0.0,0.02,0.03,0.02,0.01,0.0,0.0,0.01,0.3,0.01,0.01,0.01,0.0,0.01,0.01,0.13,0.03,0.01
GraphQL,0.12,0.0,0.08,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.04,0.02,0.0,0.0,0.09,0.02,0.01,0.02,0.01,0.0,0.37,0.01,0.03,0.0,0.01
HTML,0.49,0.03,0.41,0.01,0.01,0.06,0.02,0.0,0.02,0.0,0.41,0.02,0.03,0.04,0.58,0.01,0.08,0.08,0.01,0.0,0.03,0.12,0.68,0.0,0.12
Hadoop,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardware/Software Integration,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT Support,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Incident Response,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integration Testing and System Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intrusion Detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IoT,0.11,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.05,0.0,0.9,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.01,0.0,0.01
JUnit,0.01,0.01,0.02,0.01,0.14,0.01,0.0,0.0,0.02,0.0,0.02,0.01,0.0,0.0,0.0,0.06,0.01,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01
Java,0.64,0.02,0.04,0.01,0.04,0.01,0.02,0.0,0.01,0.22,0.14,0.01,0.01,0.01,0.02,0.28,0.01,0.72,0.1,0.0,0.02,0.04,0.02,0.41,0.05
JavaScript,0.78,0.23,0.87,0.04,0.04,0.03,0.01,0.23,0.42,0.01,0.56,0.63,0.11,0.02,0.89,0.02,0.01,0.33,0.01,0.01,0.01,0.53,0.24,0.01,0.52
Kanban,0.0,0.02,0.01,0.06,0.02,0.01,0.0,0.0,0.94,0.0,0.01,0.84,0.0,0.99,0.06,0.03,0.02,0.01,0.0,0.0,0.05,0.03,0.02,0.0,0.04
Kotlin,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.07,0.01,0.0,0.01,0.01,0.02,0.01,0.04,0.01,0.0,0.01,0.01,0.03,0.01,0.01
Kubernetes,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MQTT,0.03,0.01,0.02,0.02,0.04,0.01,0.0,0.01,0.04,0.01,0.03,0.09,0.01,0.01,0.91,0.02,0.01,0.02,0.01,0.0,0.01,0.02,0.06,0.0,0.01
Machine Learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malware Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manual Testing,0.0,0.01,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.05,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0
Matplotlib,0.07,0.01,0.16,0.02,0.11,0.01,0.01,0.01,0.2,0.01,0.07,0.1,0.01,0.02,0.03,0.08,0.11,0.02,0.02,0.01,0.03,0.01,0.09,0.01,0.01
Memory Management and Performance Profiling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft SQL Server,0.27,0.0,0.53,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.19,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
MongoDB,0.03,0.0,0.01,0.0,0.01,0.0,0.96,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.01
MySQL,0.11,0.0,0.75,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.01,0.01,0.11,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
Natural Language Processing,0.01,0.65,0.88,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.01,0.44,0.0,0.87,0.0,0.0,0.03,0.03,0.0,0.0,0.02,0.04,0.0,0.03
Network Monitoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Network Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoSQL,0.09,0.01,0.1,0.01,0.03,0.02,0.14,0.01,0.02,0.03,0.04,0.04,0.01,0.01,0.16,0.06,0.01,0.11,0.05,0.01,0.01,0.05,0.1,0.14,0.03
Node.js,0.06,0.04,0.01,0.01,0.02,0.0,0.01,0.86,0.07,0.0,0.06,0.02,0.01,0.0,0.01,0.03,0.01,0.02,0.07,0.0,0.01,0.01,0.03,0.03,0.02
Oracle,0.04,0.0,0.44,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.01,0.0,0.04,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0
Pandas,0.02,0.01,0.05,0.02,0.01,0.02,0.01,0.02,0.04,0.01,0.02,0.02,0.0,0.02,0.03,0.03,0.05,0.02,0.02,0.0,0.02,0.01,0.02,0.01,0.02
Penetration Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PostgreSQL,0.09,0.0,0.49,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01
Project Planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PyTorch,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quality Assurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDBMS,0.21,0.01,0.94,0.01,0.06,0.02,0.17,0.0,0.01,0.02,0.12,0.09,0.01,0.05,0.03,0.44,0.02,0.09,0.03,0.0,0.06,0.04,0.05,0.01,0.02
REST,0.11,0.03,0.07,0.01,0.76,0.03,0.18,0.02,0.05,0.95,0.16,0.1,0.01,0.02,0.2,0.09,0.05,0.48,0.25,0.01,0.02,0.07,0.13,0.99,0.03
RESTful Architecture,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.12,0.01,0.0,0.03,0.1,0.0,0.0,0.0,0.02,0.42,0.01
React,0.01,0.01,0.05,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.01,0.01,0.02,0.0,0.01
React Native,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Real-Time Systems,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Responsive Design,0.01,0.01,0.18,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.0
Responsive Web Design,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Risk Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Routing and Switching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0
SQL,0.5,0.02,0.45,0.01,0.05,0.01,0.02,0.0,0.01,0.01,0.28,0.04,0.01,0.03,0.03,0.62,0.01,0.35,0.01,0.0,0.08,0.04,0.33,0.01,0.03
SVN,0.1,0.01,0.15,0.01,0.34,0.02,0.03,0.01,0.16,0.15,0.08,0.86,0.01,0.01,0.02,0.71,0.12,0.03,0.02,0.01,0.01,0.06,0.13,0.03,0.01
Scala,0.29,0.02,0.03,0.01,0.02,0.01,0.02,0.0,0.01,0.01,0.08,0.03,0.01,0.02,0.01,0.07,0.02,0.4,0.02,0.0,0.02,0.02,0.08,0.04,0.03
Scalability and Performance Optimization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scrum,0.01,0.07,0.01,0.06,0.11,0.03,0.01,0.0,0.66,0.01,0.01,0.84,0.0,0.99,0.01,0.34,0.09,0.01,0.02,0.01,0.46,0.01,0.01,0.01,0.05
Security Auditing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Security Best Practices,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Selenium,0.03,0.15,0.81,0.01,0.05,0.01,0.01,0.0,0.69,0.0,0.02,0.41,0.01,0.01,0.06,0.6,0.01,0.02,0.05,0.0,0.01,0.02,0.02,0.01,0.36
Sensor Integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Server Administration,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.02,0.0
Sketch,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.11,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.0,0.0,0.01,0.01,0.05,0.0,0.01
Smart contracts,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Software Design Patterns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spark,0.02,0.0,0.05,0.01,0.07,0.01,0.0,0.0,0.09,0.0,0.04,0.02,0.0,0.01,0.0,0.03,0.06,0.0,0.01,0.0,0.01,0.01,0.04,0.01,0.01
System Administration,0.0,0.0,0.0,0.42,0.0,0.41,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.97,0.17,0.0
System Architecture Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCP/IP,0.01,0.05,0.03,0.17,0.02,0.01,0.0,0.0,0.01,0.01,0.42,0.04,0.01,0.0,0.54,0.03,0.01,0.12,0.08,0.0,0.0,0.01,0.15,0.13,0.03
Technical Documentation,0.01,0.01,0.0,0.0,0.01,0.0,0.07,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.29,0.01,0.14,0.01,0.03,0.02,0.45,0.01,0.0
TensorFlow,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0
Test-Driven Development (TDD),0.0,0.12,0.0,0.05,0.12,0.01,0.0,0.0,0.89,0.01,0.0,0.01,0.01,0.0,0.01,0.09,0.01,0.0,0.04,0.02,0.01,0.0,0.01,0.0,0.01
Troubleshooting,0.0,0.04,0.0,0.15,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.01,0.08,0.0,0.01,0.0,0.0,0.0,0.01,0.4,0.0,0.01
