Skills,"As a user, I'd like to be able to select custom fields of type Date Picker in the Two Dimensional Filter Statistics gadget, X and Y axis.         Currently this is not available.",As a user I would like to have the ability to start a thread on a Jira that is being worked on by several several users so as to avoid lengthy comment strings that are not relevant to all users.,As a user I want to click column names to sort them because it's a familiar paradigm to me and so I don't have to type in the query bar to sort the field.,"As a JIRA Administrators, I'd like to be able to set the timeout for the rapid boards. Sometimes users are in remote locations where it's excepted that the load times will be very high.",As a new developer I want to restore a dump to my local machine so I can set up a new development environment.,"As a Jira administrator, I would like to customize the image that is displayed when we select the Unassigned/Automatic option for user fields.         !abc.png!","As a developer, I'd like to add a mongodb source using an xml and a property file supporting mixing in of parameters so that I can use this module to ingest data from Mongo.","As a developer, I need a Python SDK, so I develop application with NodeJS to interact with blockchain.",As a theme designer I want a fast change test iterate loop in order to dev things quickly,"As a user of Maven and REST, I would like the ability to create and update a group repository via the API.","As an administrator, I want to be able to determine app login by granting this as a global permission for certain groups and/or users.",As a Product Owner   I would like a hotkey for the Backlog Search in Agile Plan mode  So that I can search for stories with less switching between a keyboard and mouse.,"As a user, I want to be able to configure the default expression language for my project so that I can use Weave as my expression language.","As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping",As a Compass user I would like to export and import my favorite list so that other users may access the same hosts without having to type anything,As a developer I want to copy data from production or staging to my local development environment so I can debug an application issue.,"As an application developer, I want documentation for upgrade flows","As a user, I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.",As a developer I want to copy a document to clipboard as json so I can share the document with other members on my team and/or compare it with the output from my application.,As a developer I want to debug my Alloy projects using the Studio debugger,"As a Jira Software Administrator, I would like to be able to create and use a schema for Issue Detail View in Agile boards.    It would facilitate the standardization of board configuration.","As a customer, I would like to have the possibility of configuring the calendar on the Log Work Screen. As an example, hide week number information.","As an admin , I would like to have the ability to remove the tab Discover option from the Switch to tab. Please refer attachment. We do not want to see More atlassian products under this Discover tab.","As a user of REST, I would like the capability to administrate my Raw repositories.  This ticket implements PUT and POST endpoints.",As a user I would like an action to be able to delete a specific worklog (from a specifc author at a specific date) in Automation for JIRA.     Today I can only add a worklog.
Blockchain security,0.02,0.1,0.01,0.02,0.04,0.02,0.01,0.81,0.03,0.01,0.16,0.01,0.04,0.01,0.03,0.02,0.05,0.02,0.02,0.02,0.01,0.02,0.08,0.02,0.02
Budgeting,0.02,0.06,0.11,0.01,0.01,0.05,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.06,0.01,0.01
Build Automation,0.03,0.06,0.08,0.02,0.05,0.02,0.01,0.04,0.02,0.05,0.03,0.02,0.06,0.07,0.02,0.07,0.07,0.01,0.02,0.05,0.01,0.07,0.09,0.03,0.04
CSS,0.14,0.16,0.06,0.03,0.18,0.07,0.02,0.03,0.06,0.02,0.1,0.06,0.12,0.04,0.09,0.08,0.25,0.03,0.02,0.03,0.07,0.53,0.53,0.03,0.06
Cassandra,0.19,0.04,0.35,0.11,0.35,0.02,0.02,0.06,0.14,0.03,0.3,0.1,0.18,0.05,0.03,0.51,0.81,0.05,0.08,0.06,0.02,0.15,0.25,0.09,0.03
Cloud Architecture,0.02,0.09,0.03,0.01,0.04,0.02,0.02,0.03,0.03,0.02,0.06,0.01,0.09,0.01,0.03,0.04,0.06,0.03,0.03,0.04,0.01,0.05,0.1,0.04,0.02
Cloud Native Application Development,0.02,0.08,0.01,0.01,0.14,0.01,0.03,0.03,0.02,0.01,0.03,0.01,0.12,0.01,0.02,0.15,0.14,0.02,0.09,0.03,0.01,0.04,0.08,0.02,0.01
CoAP,0.12,0.12,0.38,0.06,0.33,0.37,0.08,0.13,0.32,0.1,0.6,0.27,0.08,0.06,0.13,0.33,0.57,0.18,0.24,0.15,0.25,0.19,0.55,0.15,0.07
Computer Vision,0.03,0.1,0.02,0.01,0.08,0.08,0.01,0.02,0.03,0.01,0.06,0.01,0.08,0.01,0.01,0.02,0.07,0.04,0.02,0.03,0.01,0.03,0.14,0.02,0.03
Continuous Integration/Continuous Deployment,0.03,0.08,0.02,0.01,0.09,0.01,0.02,0.04,0.07,0.03,0.02,0.04,0.06,0.33,0.03,0.57,0.7,0.02,0.03,0.02,0.03,0.04,0.06,0.03,0.03
Cross Browser Compatibility,0.06,0.13,0.03,0.03,0.07,0.03,0.04,0.06,0.05,0.02,0.08,0.04,0.05,0.02,0.27,0.1,0.26,0.03,0.1,0.04,0.02,0.05,0.2,0.03,0.03
Cryptocurrency development,0.01,0.05,0.01,0.01,0.11,0.01,0.01,0.96,0.01,0.0,0.01,0.0,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.04,0.01,0.01
Cryptography,0.02,0.07,0.04,0.01,0.07,0.05,0.01,0.05,0.02,0.01,0.04,0.01,0.05,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.08,0.01,0.03
Data Engineering,0.03,0.08,0.01,0.01,0.06,0.01,0.11,0.02,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.09,0.01,0.04,0.03,0.02,0.01,0.02,0.02,0.04,0.02
Data Manipulation,0.3,0.07,0.06,0.02,0.56,0.03,0.82,0.04,0.01,0.02,0.03,0.02,0.11,0.01,0.07,0.83,0.03,0.54,0.36,0.07,0.03,0.27,0.07,0.03,0.03
Data Manipulation and Cleaning,0.04,0.08,0.04,0.02,0.69,0.02,0.14,0.02,0.01,0.01,0.01,0.01,0.09,0.09,0.06,0.56,0.03,0.3,0.13,0.05,0.01,0.12,0.06,0.02,0.03
Data Mining,0.05,0.09,0.02,0.01,0.17,0.02,0.08,0.02,0.01,0.01,0.06,0.01,0.1,0.02,0.01,0.11,0.03,0.21,0.03,0.02,0.01,0.05,0.1,0.02,0.02
Data Modeling,0.13,0.09,0.03,0.01,0.13,0.02,0.54,0.04,0.01,0.02,0.02,0.01,0.24,0.01,0.02,0.2,0.03,0.16,0.22,0.04,0.25,0.03,0.13,0.03,0.02
Data Visualization,0.39,0.14,0.12,0.01,0.04,0.04,0.02,0.02,0.01,0.01,0.02,0.01,0.26,0.01,0.03,0.03,0.02,0.04,0.06,0.02,0.02,0.03,0.11,0.02,0.01
Data Warehousing,0.02,0.05,0.03,0.02,0.07,0.02,0.02,0.02,0.02,0.04,0.01,0.01,0.08,0.02,0.02,0.04,0.02,0.35,0.01,0.02,0.01,0.02,0.04,0.26,0.02
DevOps,0.03,0.15,0.03,0.02,0.15,0.02,0.04,0.03,0.19,0.04,0.03,0.02,0.08,0.05,0.02,0.47,0.22,0.03,0.1,0.04,0.03,0.09,0.09,0.11,0.03
Disaster Recovery Planning,0.01,0.04,0.03,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.06,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.03,0.01,0.01
Django,0.27,0.04,0.3,0.04,0.39,0.02,0.07,0.06,0.11,0.03,0.41,0.1,0.17,0.03,0.03,0.52,0.72,0.04,0.24,0.03,0.03,0.21,0.31,0.28,0.06
Docker,0.08,0.05,0.07,0.06,0.45,0.04,0.04,0.05,0.13,0.03,0.51,0.06,0.1,0.06,0.07,0.49,0.45,0.07,0.06,0.03,0.02,0.09,0.19,0.05,0.05
ETL,0.13,0.19,0.23,0.06,0.25,0.19,0.04,0.06,0.46,0.04,0.27,0.08,0.1,0.05,0.09,0.31,0.64,0.11,0.06,0.07,0.1,0.15,0.34,0.07,0.04
Embedded Systems,0.05,0.11,0.16,0.02,0.11,0.03,0.01,0.03,0.03,0.02,0.04,0.01,0.12,0.05,0.03,0.02,0.03,0.02,0.02,0.06,0.01,0.05,0.18,0.03,0.03
Ethical Hacking,0.01,0.06,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.01,0.06,0.01,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.03,0.1,0.01,0.02
Firewall Configuration,0.02,0.05,0.09,0.02,0.02,0.01,0.01,0.02,0.05,0.01,0.02,0.01,0.02,0.13,0.02,0.02,0.07,0.01,0.11,0.03,0.01,0.01,0.07,0.01,0.01
Flask,0.16,0.05,0.28,0.05,0.54,0.02,0.17,0.13,0.34,0.07,0.62,0.1,0.23,0.04,0.05,0.75,0.8,0.13,0.51,0.04,0.03,0.3,0.22,0.38,0.06
Flutter,0.06,0.09,0.13,0.27,0.18,0.11,0.03,0.06,0.4,0.02,0.26,0.04,0.03,0.05,0.04,0.21,0.33,0.08,0.08,0.03,0.02,0.05,0.17,0.1,0.07
GCP,0.23,0.12,0.43,0.12,0.48,0.13,0.13,0.13,0.52,0.26,0.58,0.36,0.09,0.14,0.35,0.44,0.69,0.23,0.34,0.08,0.09,0.28,0.47,0.22,0.07
Git,0.13,0.07,0.2,0.05,0.49,0.05,0.04,0.06,0.14,0.13,0.34,0.19,0.1,0.04,0.09,0.44,0.34,0.09,0.09,0.04,0.03,0.18,0.33,0.18,0.05
GraphQL,0.11,0.11,0.32,0.04,0.35,0.04,0.02,0.07,0.14,0.05,0.4,0.14,0.12,0.03,0.15,0.29,0.63,0.07,0.04,0.05,0.06,0.33,0.38,0.06,0.13
HTML,0.16,0.15,0.18,0.04,0.13,0.09,0.04,0.02,0.05,0.04,0.1,0.09,0.1,0.02,0.36,0.07,0.14,0.11,0.02,0.02,0.04,0.44,0.8,0.04,0.09
Hadoop,0.09,0.07,0.09,0.09,0.52,0.02,0.02,0.02,0.06,0.01,0.14,0.09,0.07,0.02,0.04,0.13,0.29,0.05,0.04,0.02,0.01,0.04,0.26,0.04,0.02
Hardware/Software Integration,0.02,0.06,0.03,0.02,0.06,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.09,0.02,0.02,0.03,0.03,0.01,0.02,0.51,0.01,0.03,0.27,0.01,0.02
IT Support,0.02,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.05,0.04,0.03
Incident Response,0.02,0.08,0.05,0.19,0.02,0.04,0.01,0.03,0.02,0.01,0.01,0.01,0.05,0.06,0.02,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.06,0.03,0.09
Integration Testing and System Testing,0.02,0.06,0.01,0.03,0.06,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.03,0.05,0.02,0.16,0.07,0.01,0.07,0.03,0.01,0.03,0.06,0.03,0.04
Intrusion Detection,0.02,0.07,0.03,0.02,0.04,0.03,0.01,0.03,0.02,0.01,0.09,0.01,0.09,0.03,0.02,0.03,0.04,0.02,0.03,0.04,0.01,0.02,0.08,0.01,0.02
IoT,0.18,0.23,0.14,0.1,0.12,0.17,0.04,0.06,0.09,0.04,0.14,0.03,0.16,0.03,0.07,0.05,0.07,0.11,0.05,0.07,0.03,0.18,0.26,0.1,0.05
JUnit,0.15,0.09,0.19,0.03,0.33,0.09,0.04,0.05,0.38,0.05,0.39,0.08,0.07,0.09,0.04,0.33,0.16,0.07,0.1,0.04,0.03,0.17,0.25,0.07,0.04
Java,0.32,0.53,0.28,0.21,0.54,0.14,0.08,0.03,0.12,0.04,0.56,0.12,0.07,0.03,0.1,0.53,0.81,0.15,0.12,0.05,0.23,0.4,0.31,0.19,0.42
JavaScript,0.39,0.24,0.3,0.19,0.7,0.15,0.07,0.96,0.24,0.07,0.59,0.32,0.16,0.2,0.37,0.71,0.57,0.2,0.09,0.07,0.11,0.73,0.86,0.25,0.19
Kanban,0.09,0.07,0.25,0.03,0.22,0.08,0.03,0.05,0.1,0.02,0.31,0.05,0.05,0.92,0.03,0.11,0.15,0.08,0.06,0.04,0.02,0.19,0.22,0.05,0.04
Kotlin,0.24,0.07,0.16,0.05,0.45,0.02,0.04,0.02,0.17,0.02,0.3,0.15,0.03,0.02,0.03,0.37,0.34,0.04,0.14,0.03,0.02,0.25,0.2,0.08,0.04
Kubernetes,0.04,0.03,0.04,0.08,0.17,0.01,0.02,0.05,0.16,0.02,0.28,0.03,0.05,0.02,0.03,0.15,0.46,0.04,0.05,0.03,0.01,0.06,0.14,0.04,0.02
MQTT,0.14,0.13,0.58,0.06,0.37,0.1,0.04,0.08,0.37,0.07,0.56,0.15,0.09,0.04,0.22,0.37,0.7,0.11,0.05,0.11,0.03,0.21,0.47,0.06,0.04
Machine Learning,0.04,0.04,0.01,0.01,0.05,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.05,0.16,0.01,0.09
Malware Analysis,0.01,0.04,0.04,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.15,0.01,0.02
Manual Testing,0.02,0.05,0.02,0.02,0.09,0.01,0.01,0.02,0.04,0.02,0.02,0.01,0.04,0.02,0.02,0.45,0.03,0.02,0.03,0.01,0.02,0.04,0.06,0.02,0.02
Matplotlib,0.29,0.11,0.29,0.05,0.29,0.07,0.05,0.08,0.1,0.04,0.33,0.15,0.12,0.06,0.06,0.15,0.44,0.08,0.18,0.05,0.04,0.16,0.36,0.07,0.07
Memory Management and Performance Profiling,0.02,0.06,0.03,0.02,0.07,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.06,0.02,0.04,0.17,0.02,0.04,0.08,0.01,0.01,0.07,0.01,0.02
Microsoft SQL Server,0.37,0.03,0.76,0.04,0.37,0.01,0.01,0.02,0.06,0.01,0.32,0.24,0.04,0.04,0.03,0.18,0.79,0.03,0.13,0.03,0.02,0.15,0.3,0.04,0.03
MongoDB,0.24,0.05,0.43,0.15,0.68,0.02,0.99,0.06,0.14,0.04,0.46,0.36,0.09,0.07,0.05,0.72,0.79,0.07,0.15,0.05,0.03,0.18,0.3,0.17,0.05
MySQL,0.4,0.03,0.72,0.12,0.65,0.02,0.05,0.02,0.1,0.03,0.43,0.33,0.2,0.04,0.09,0.63,0.85,0.03,0.18,0.05,0.02,0.27,0.35,0.07,0.03
Natural Language Processing,0.01,0.08,0.02,0.01,0.04,0.23,0.01,0.02,0.01,0.01,0.01,0.02,0.53,0.01,0.04,0.01,0.01,0.02,0.53,0.01,0.01,0.02,0.14,0.01,0.02
Network Monitoring,0.02,0.1,0.09,0.03,0.03,0.02,0.02,0.04,0.02,0.01,0.04,0.01,0.11,0.07,0.14,0.07,0.06,0.06,0.08,0.05,0.01,0.04,0.14,0.03,0.03
Network Security,0.02,0.11,0.06,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.16,0.01,0.06,0.03,0.14,0.02,0.04,0.01,0.02,0.03,0.01,0.04,0.1,0.02,0.02
NoSQL,0.05,0.05,0.35,0.02,0.77,0.02,0.38,0.02,0.05,0.06,0.13,0.26,0.08,0.01,0.13,0.3,0.36,0.1,0.04,0.04,0.02,0.21,0.31,0.08,0.17
Node.js,0.54,0.17,0.45,0.24,0.71,0.06,0.66,0.98,0.34,0.06,0.73,0.37,0.25,0.05,0.22,0.86,0.71,0.29,0.61,0.08,0.09,0.5,0.39,0.41,0.13
Oracle,0.22,0.03,0.36,0.05,0.17,0.01,0.02,0.02,0.11,0.01,0.3,0.16,0.07,0.05,0.03,0.2,0.61,0.04,0.17,0.03,0.02,0.24,0.35,0.14,0.03
Pandas,0.04,0.09,0.08,0.07,0.08,0.04,0.02,0.06,0.24,0.03,0.14,0.03,0.03,0.06,0.08,0.12,0.16,0.04,0.13,0.04,0.02,0.03,0.11,0.09,0.06
Penetration Testing,0.01,0.09,0.03,0.01,0.04,0.01,0.01,0.03,0.05,0.01,0.02,0.01,0.06,0.07,0.02,0.07,0.03,0.01,0.05,0.02,0.01,0.02,0.07,0.01,0.03
Performance Testing,0.01,0.04,0.01,0.06,0.04,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.06,0.03,0.01,0.27,0.03,0.02,0.06,0.02,0.01,0.02,0.06,0.02,0.02
PostgreSQL,0.3,0.03,0.52,0.03,0.54,0.02,0.01,0.02,0.06,0.02,0.34,0.16,0.08,0.09,0.04,0.29,0.67,0.03,0.15,0.05,0.01,0.26,0.22,0.08,0.02
Project Planning,0.01,0.05,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.03
PyTorch,0.07,0.04,0.08,0.05,0.35,0.03,0.05,0.15,0.1,0.02,0.33,0.08,0.05,0.06,0.03,0.39,0.46,0.05,0.12,0.05,0.02,0.06,0.18,0.07,0.05
Quality Assurance,0.01,0.07,0.06,0.01,0.01,0.11,0.01,0.02,0.02,0.01,0.01,0.01,0.07,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.09,0.02,0.02
RDBMS,0.34,0.06,0.76,0.04,0.46,0.03,0.4,0.03,0.13,0.03,0.27,0.21,0.11,0.04,0.04,0.28,0.79,0.05,0.12,0.07,0.02,0.19,0.42,0.05,0.03
REST,0.17,0.22,0.25,0.09,0.35,0.09,0.11,0.11,0.12,0.97,0.56,0.1,0.31,0.04,0.9,0.29,0.79,0.56,0.28,0.05,0.13,0.43,0.35,0.98,0.22
RESTful Architecture,0.12,0.2,0.36,0.05,0.24,0.03,0.12,0.07,0.05,0.87,0.36,0.02,0.24,0.03,0.78,0.18,0.55,0.47,0.11,0.04,0.08,0.6,0.34,0.98,0.04
React,0.26,0.07,0.39,0.08,0.37,0.06,0.04,0.03,0.2,0.05,0.51,0.1,0.1,0.04,0.07,0.53,0.6,0.11,0.1,0.04,0.05,0.49,0.15,0.11,0.11
React Native,0.2,0.05,0.26,0.06,0.25,0.03,0.04,0.03,0.08,0.02,0.42,0.17,0.1,0.02,0.05,0.29,0.29,0.04,0.06,0.04,0.03,0.49,0.28,0.06,0.05
Real-Time Systems,0.04,0.03,0.08,0.1,0.08,0.02,0.01,0.03,0.05,0.01,0.14,0.01,0.07,0.02,0.04,0.04,0.1,0.05,0.04,0.04,0.01,0.1,0.11,0.03,0.02
Responsive Design,0.22,0.27,0.71,0.03,0.08,0.38,0.02,0.03,0.07,0.02,0.14,0.05,0.07,0.02,0.3,0.03,0.06,0.05,0.03,0.04,0.04,0.5,0.54,0.05,0.03
Responsive Web Design,0.08,0.06,0.36,0.01,0.06,0.07,0.01,0.02,0.03,0.01,0.03,0.02,0.09,0.01,0.3,0.02,0.03,0.01,0.01,0.02,0.01,0.11,0.46,0.03,0.02
Risk Management,0.01,0.06,0.07,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.02,0.02
Routing and Switching,0.05,0.15,0.08,0.06,0.08,0.04,0.05,0.06,0.3,0.02,0.06,0.13,0.06,0.45,0.06,0.23,0.44,0.12,0.08,0.15,0.02,0.03,0.22,0.17,0.04
SQL,0.12,0.12,0.86,0.03,0.29,0.05,0.06,0.04,0.07,0.04,0.18,0.2,0.14,0.13,0.17,0.42,0.8,0.09,0.06,0.06,0.05,0.19,0.47,0.04,0.04
SVN,0.21,0.08,0.35,0.05,0.32,0.09,0.07,0.1,0.2,0.11,0.3,0.12,0.07,0.06,0.29,0.25,0.38,0.13,0.05,0.06,0.06,0.2,0.28,0.09,0.06
Scala,0.29,0.08,0.21,0.04,0.6,0.03,0.11,0.02,0.16,0.03,0.34,0.17,0.11,0.03,0.06,0.35,0.36,0.1,0.07,0.06,0.03,0.34,0.27,0.16,0.05
Scalability and Performance Optimization,0.02,0.16,0.01,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.06,0.03,0.16,0.02,0.38,0.09,0.03,0.08,0.01,0.02,0.11,0.02,0.02
Scrum,0.04,0.12,0.04,0.03,0.09,0.03,0.03,0.02,0.09,0.01,0.08,0.13,0.02,0.97,0.02,0.08,0.04,0.03,0.05,0.02,0.13,0.08,0.1,0.03,0.03
Security Auditing,0.01,0.07,0.03,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.07,0.01,0.08,0.04,0.02,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.05,0.01,0.02
Security Best Practices,0.01,0.05,0.01,0.08,0.04,0.04,0.01,0.02,0.01,0.01,0.86,0.01,0.01,0.01,0.28,0.02,0.02,0.04,0.02,0.01,0.01,0.09,0.1,0.02,0.02
Selenium,0.1,0.04,0.08,0.03,0.34,0.02,0.02,0.05,0.27,0.03,0.35,0.12,0.07,0.04,0.03,0.38,0.24,0.03,0.12,0.03,0.01,0.12,0.28,0.08,0.04
Sensor Integration,0.04,0.18,0.07,0.01,0.07,0.03,0.02,0.04,0.05,0.02,0.05,0.02,0.16,0.09,0.02,0.06,0.08,0.04,0.16,0.09,0.02,0.03,0.18,0.03,0.03
Server Administration,0.01,0.03,0.01,0.04,0.02,0.02,0.01,0.03,0.01,0.01,0.35,0.01,0.02,0.09,0.04,0.02,0.05,0.01,0.01,0.01,0.02,0.03,0.6,0.15,0.02
Sketch,0.13,0.05,0.15,0.02,0.11,0.05,0.04,0.04,0.19,0.03,0.38,0.03,0.06,0.03,0.02,0.05,0.15,0.07,0.07,0.03,0.03,0.1,0.19,0.05,0.04
Smart contracts,0.02,0.11,0.02,0.03,0.14,0.03,0.01,0.75,0.04,0.01,0.04,0.01,0.05,0.01,0.02,0.01,0.04,0.02,0.02,0.04,0.01,0.04,0.23,0.02,0.03
Software Design Patterns,0.02,0.04,0.01,0.02,0.13,0.02,0.21,0.06,0.04,0.02,0.12,0.03,0.03,0.01,0.02,0.12,0.11,0.04,0.1,0.02,0.04,0.14,0.11,0.04,0.02
Spark,0.15,0.03,0.12,0.05,0.26,0.03,0.02,0.03,0.1,0.01,0.32,0.11,0.02,0.02,0.02,0.2,0.51,0.03,0.09,0.02,0.01,0.13,0.24,0.07,0.02
System Administration,0.02,0.04,0.01,0.1,0.02,0.05,0.01,0.02,0.01,0.01,0.97,0.01,0.02,0.39,0.02,0.02,0.03,0.01,0.01,0.01,0.04,0.04,0.98,0.08,0.03
System Architecture Design,0.01,0.07,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.03,0.05,0.01,0.01,0.08,0.03,0.03
TCP/IP,0.06,0.07,0.08,0.07,0.14,0.05,0.03,0.04,0.04,0.02,0.22,0.04,0.08,0.04,0.7,0.1,0.38,0.08,0.06,0.03,0.02,0.03,0.21,0.07,0.04
Technical Documentation,0.02,0.08,0.02,0.01,0.04,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.17,0.02,0.1,0.02,0.01,0.03,0.09,0.03,0.03
TensorFlow,0.17,0.05,0.03,0.02,0.25,0.01,0.02,0.04,0.05,0.01,0.33,0.06,0.05,0.03,0.02,0.06,0.14,0.04,0.03,0.03,0.02,0.07,0.25,0.02,0.03
Test-Driven Development (TDD),0.02,0.08,0.02,0.02,0.25,0.02,0.02,0.05,0.39,0.01,0.02,0.02,0.04,0.03,0.02,0.18,0.13,0.02,0.06,0.08,0.01,0.06,0.08,0.02,0.02
Troubleshooting,0.02,0.1,0.02,0.03,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.03,0.02,0.96,0.02,0.02,0.03,0.78,0.07,0.03,0.06,0.02,0.02
